Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	SYSTEM	DPQS_2105_REF	DPQS_2105_NEW	
10000	1	REVERSE_BA	SAWTOTH	 0.0137536	 0.0110466	 0.0102435	
10000	1	REVERSE_BA	_RANDOM	 0.0569685	 0.0442642	 0.0595651	
10000	1	REVERSE_BA	PLATEAU	 0.0044726	 0.0044658	 0.0044762	
10000	1	REVERSE_BA	SHUFFLE	 0.3152326	 0.1234165	 0.1234928	
10000	1	REVERSE_FR	SPIRAL	 0.2625345	 0.0876298	 0.0878120	
10000	1	REVERSE_FR	STAGGER	 0.0608013	 0.0583224	 0.0583816	
10000	1	REVERSE_FR	SAWTOTH	 0.0250222	 0.0159819	 0.0254092	
10000	1	REVERSE_FR	_RANDOM	 0.0513291	 0.0446643	 0.0566951	
10000	1	REVERSE_FR	PLATEAU	 0.0045562	 0.0045281	 0.0045411	
10000	1	REVERSE_FR	SHUFFLE	 0.3257502	 0.1267948	 0.1266175	
10000	16	IDENT_____	SPIRAL	 0.2473229	 0.0819155	 0.0818701	
10000	16	IDENT_____	STAGGER	 0.0884184	 0.0873838	 0.0873643	
10000	16	IDENT_____	SAWTOTH	 0.0726482	 0.0784324	 0.0651623	
10000	16	IDENT_____	_RANDOM	 0.1825621	! 0.1226862	 0.0831098	
10000	16	IDENT_____	PLATEAU	 0.0044838	 0.0044474	 0.0044639	
10000	16	IDENT_____	SHUFFLE	 0.1628853	 0.1367435	 0.1369554	
10000	16	REVERSE___	SPIRAL	 0.2885463	 0.0818701	 0.0817389	
10000	16	REVERSE___	STAGGER	 0.0952337	 0.0916636	 0.0844073	
10000	16	REVERSE___	SAWTOTH	 0.0558600	 0.0582806	 0.0651095	
10000	16	REVERSE___	_RANDOM	 0.1897472	! 0.1099231	 0.0674471	
10000	16	REVERSE___	PLATEAU	 0.0044797	 0.0043632	 0.0043659	
10000	16	REVERSE___	SHUFFLE	 0.1843064	 0.1356330	 0.1359558	
10000	16	DITHER____	SPIRAL	 0.2197916	 0.0903041	 0.0902808	
10000	16	DITHER____	STAGGER	 0.0889528	 0.0876496	 0.0879489	
10000	16	DITHER____	SAWTOTH	 0.1107944	 0.1140960	 0.1105450	
10000	16	DITHER____	_RANDOM	 0.2046211	! 0.1283728	! 0.0951065	
10000	16	DITHER____	PLATEAU	 0.0267146	 0.0283496	 0.0649633	
10000	16	DITHER____	SHUFFLE	 0.1889376	 0.1103659	 0.1102724	
10000	16	REVERSE_BA	SPIRAL	 0.2588079	 0.0821284	 0.0821913	
10000	16	REVERSE_BA	STAGGER	 0.0923466	 0.0913111	 0.0912931	
10000	16	REVERSE_BA	SAWTOTH	 0.0911744	 0.0879551	 0.0650557	
10000	16	REVERSE_BA	_RANDOM	 0.1981996	! 0.1242710	 0.0699789	
10000	16	REVERSE_BA	PLATEAU	 0.0044575	 0.0044421	 0.0044558	
10000	16	REVERSE_BA	SHUFFLE	 0.1922680	 0.1335432	 0.1336964	
10000	16	REVERSE_FR	SPIRAL	 0.2915307	 0.0816935	 0.0820116	
10000	16	REVERSE_FR	STAGGER	 0.0914361	 0.0898538	 0.0830469	
10000	16	REVERSE_FR	SAWTOTH	 0.1060425	 0.1038515	 0.0653674	
10000	16	REVERSE_FR	_RANDOM	 0.2016984	! 0.1192557	 0.0722122	
10000	16	REVERSE_FR	PLATEAU	 0.0051913	 0.0044572	 0.0044561	
10000	16	REVERSE_FR	SHUFFLE	 0.1790256	 0.1358570	 0.1360111	
10000	256	IDENT_____	SPIRAL	 0.0860348	 0.0847175	 0.0847054	
10000	256	IDENT_____	STAGGER	 0.5457259	 0.1382954	 0.1383467	
10000	256	IDENT_____	SAWTOTH	 0.1076628	 0.0959937	 0.0978042	
10000	256	IDENT_____	_RANDOM	 0.4132702	 0.0693174	 0.0692312	
10000	256	IDENT_____	PLATEAU	 0.0044651	 0.0044383	 0.0044572	
10000	256	IDENT_____	SHUFFLE	 0.0702317	! 0.0890943	! 0.0889773	
10000	256	REVERSE___	SPIRAL	 0.2566073	 0.0927557	 0.0927989	
10000	256	REVERSE___	STAGGER	 0.5224619	 0.1293782	 0.1291392	
10000	256	REVERSE___	SAWTOTH	 0.1217588	 0.1052007	 0.0976041	
10000	256	REVERSE___	_RANDOM	 0.4164745	 0.0694328	 0.0690332	
10000	256	REVERSE___	PLATEAU	 0.0047343	 0.0046471	 0.0046655	
10000	256	REVERSE___	SHUFFLE	 0.0774787	 0.0779288	 0.0778901	
10000	256	DITHER____	SPIRAL	 0.2107527	 0.0896468	 0.0896903	
10000	256	DITHER____	STAGGER	 0.5249209	 0.1139999	 0.1140844	
10000	256	DITHER____	SAWTOTH	 0.3365220	 0.0918385	 0.0918272	
10000	256	DITHER____	_RANDOM	 0.4275101	! 0.1477945	! 0.1270081	
10000	256	DITHER____	PLATEAU	 0.0293920	 0.0296066	 0.0897323	
10000	256	DITHER____	SHUFFLE	 0.0847449	 0.1200368	 0.1201527	
10000	256	REVERSE_BA	SPIRAL	 0.1009513	 0.0898796	 0.1002671	
10000	256	REVERSE_BA	STAGGER	 0.5295197	 0.1150268	 0.1151380	
10000	256	REVERSE_BA	SAWTOTH	 0.1003809	 0.1094321	 0.1094426	
10000	256	REVERSE_BA	_RANDOM	 0.4134098	 0.0805199	 0.0695968	
10000	256	REVERSE_BA	PLATEAU	 0.0044618	 0.0044769	 0.0044532	
10000	256	REVERSE_BA	SHUFFLE	 0.0848697	! 0.0925861	! 0.0923946	
