Parsing sort-5000.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11_27	DPQ_19_01	DPQ_19_01_05	
5000	1024	REVERSE___	STAGGER	 0.0005879	 0.1962738	 0.2120722	 0.2000077	 0.1996436	 0.2159776	
5000	1024	REVERSE___	SAWTOTH	 0.0005883	 0.0375377	 0.1761011	 0.1765461	 0.1970950	 0.1737661	
5000	1024	REVERSE___	_RANDOM	 0.0005935	 0.2748655	 0.2650282	 0.2533038	 0.2720498	 0.2602885	
5000	1024	REVERSE___	PLATEAU	 0.0005880	 0.0048399	 0.0027360	 0.0028270	 0.0027682	 0.0033773	
5000	1024	REVERSE___	SHUFFLE	 0.0005805	! 0.0150296	! 0.0296636	! 0.0258289	! 0.0351603	! 0.0353358	
5000	1024	REVERSE_FR	STAGGER	 0.0005822	 0.1864994	 0.2089607	 0.2068028	 0.2085698	 0.2173804	
5000	1024	REVERSE_FR	SAWTOTH	 0.0005920	 0.0366068	 0.1611748	 0.1570572	 0.1881803	 0.1748197	
5000	1024	REVERSE_FR	_RANDOM	 0.0005792	 0.2781135	 0.2662154	 0.3039692	 0.2680768	 0.2718113	
5000	1024	REVERSE_FR	PLATEAU	 0.0005857	 0.0130484	 0.0029416	 0.0030738	 0.0029304	 0.0028230	
5000	1024	REVERSE_FR	SHUFFLE	 0.0005823	! 0.0150676	! 0.0259162	! 0.0296514	! 0.0228315	! 0.0269952	
5000	1024	REVERSE_BA	STAGGER	 0.0005869	 0.1852827	 0.2120670	 0.2074600	 0.2082742	 0.2238880	
5000	1024	REVERSE_BA	SAWTOTH	 0.0005936	 0.0371073	 0.1562557	 0.1619725	! 0.3476175	 0.1855970	
5000	1024	REVERSE_BA	_RANDOM	 0.0005820	 0.3004578	 0.2457258	 0.2458061	 0.2627099	 0.2523140	
5000	1024	REVERSE_BA	PLATEAU	 0.0005946	 0.0026512	 0.0019089	 0.0019772	 0.0022740	 0.0021844	
5000	1024	REVERSE_BA	SHUFFLE	 0.0005856	 0.0237089	! 0.0258417	! 0.0234399	! 0.0241749	! 0.0228256	
5000	1024	SORT______	STAGGER	 0.0005860	 0.0018978	 0.0019161	 0.0019163	 0.0019170	 0.0019154	
5000	1024	SORT______	SAWTOTH	 0.0005812	! 0.0027644	 0.0023158	 0.0021745	 0.0019943	 0.0019940	
5000	1024	SORT______	_RANDOM	 0.0005828	 0.0019000	 0.0019197	 0.0019208	 0.0019174	 0.0019188	
5000	1024	SORT______	PLATEAU	 0.0005929	 0.0018937	 0.0019100	 0.0019144	 0.0019078	 0.0021872	
5000	1024	SORT______	SHUFFLE	 0.0005856	 0.0025420	 0.0019183	 0.0021854	 0.0019166	 0.0019182	
5000	1024	DITHER____	STAGGER	 0.0005899	 0.1797603	 0.2181760	 0.2031467	 0.2073489	 0.2155260	
5000	1024	DITHER____	SAWTOTH	 0.0005767	 0.1856770	 0.1738450	 0.1830550	 0.1995282	 0.1813486	
5000	1024	DITHER____	_RANDOM	 0.0005870	 0.2889062	 0.2640708	 0.2698577	 0.2599506	 0.2734577	
