Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	SYSTEM	NEW_DPQS_REF	RADIX	
10000	1	REVERSE___	SAWTOTH	 0.0043158	 0.0044147	 0.0041611	
10000	1	REVERSE___	_RANDOM	 0.0043008	 0.0043910	 0.0041718	
10000	1	REVERSE___	PLATEAU	 0.0043055	 0.0044229	 0.0116511	
10000	1	REVERSE___	SHUFFLE	 0.0102642	 0.0117224	 0.0102061	
10000	1	DITHER____	SPIRAL	 0.2607265	 0.0971634	 0.1699140	
10000	1	DITHER____	STAGGER	 0.3505127	 0.0934864	 0.1501595	
10000	1	DITHER____	SAWTOTH	 0.0288526	 0.0279677	 0.1000013	
10000	1	DITHER____	_RANDOM	 0.0289705	 0.0279515	 0.1010997	
10000	1	DITHER____	PLATEAU	 0.0289644	 0.0279049	 0.0998853	
10000	1	DITHER____	SHUFFLE	 0.0447520	 0.1113235	 0.1370500	
10000	1	REVERSE_BA	SPIRAL	 0.2884565	 0.1279791	 0.1701037	
10000	1	REVERSE_BA	STAGGER	 0.0430751	 0.0415565	 0.0369826	
10000	1	REVERSE_BA	SAWTOTH	 0.0043179	 0.0044040	 0.0041518	
10000	1	REVERSE_BA	_RANDOM	 0.0043251	 0.0044052	 0.0041637	
10000	1	REVERSE_BA	PLATEAU	 0.0044409	 0.0044612	 0.0041428	
10000	1	REVERSE_BA	SHUFFLE	 0.0435838	 0.0422666	 0.0348290	
10000	1	REVERSE_FR	SPIRAL	 0.2424367	 0.1298966	 0.1717023	
10000	1	REVERSE_FR	STAGGER	 0.0434901	 0.0423763	 0.0315864	
10000	1	REVERSE_FR	SAWTOTH	 0.0043281	 0.0044036	 0.0041869	
10000	1	REVERSE_FR	_RANDOM	 0.0043138	 0.0044113	 0.0041689	
10000	1	REVERSE_FR	PLATEAU	 0.0045212	 0.0045374	 0.0280348	
10000	1	REVERSE_FR	SHUFFLE	 0.0085455	 0.0084913	 0.0078646	
10000	16	IDENT_____	SPIRAL	 0.2469515	 0.0817864	 0.1644570	
10000	16	IDENT_____	STAGGER	 0.0883082	 0.0871403	 0.1588014	
10000	16	IDENT_____	SAWTOTH	 0.0723179	 0.0781257	 0.0996111	
10000	16	IDENT_____	_RANDOM	 0.1819863	! 0.1223124	 0.1012918	
10000	16	IDENT_____	PLATEAU	 0.0044725	 0.0044683	 0.0041688	
10000	16	IDENT_____	SHUFFLE	 0.1604649	 0.1361721	 0.1833212	
10000	16	REVERSE___	SPIRAL	 0.2895982	 0.0814598	 0.1645898	
10000	16	REVERSE___	STAGGER	 0.0950721	 0.0910326	 0.1642878	
10000	16	REVERSE___	SAWTOTH	 0.0559022	 0.0586339	 0.0998561	
10000	16	REVERSE___	_RANDOM	 0.1862972	! 0.1100372	 0.1012110	
10000	16	REVERSE___	PLATEAU	 0.0044723	 0.0043797	 0.0115400	
10000	16	REVERSE___	SHUFFLE	 0.1838346	 0.1356823	 0.1859235	
10000	16	DITHER____	SPIRAL	 0.2194169	 0.0900451	 0.1644373	
10000	16	DITHER____	STAGGER	 0.0887756	 0.0876406	 0.1603724	
10000	16	DITHER____	SAWTOTH	 0.1127364	 0.1141366	 0.0996733	
10000	16	DITHER____	_RANDOM	 0.2058421	! 0.1283582	 0.0999349	
10000	16	DITHER____	PLATEAU	 0.0272415	 0.0283779	 0.1011859	
10000	16	DITHER____	SHUFFLE	 0.1880802	 0.1097831	 0.1932605	
10000	16	REVERSE_BA	SPIRAL	 0.2577082	 0.0815853	 0.1640761	
10000	16	REVERSE_BA	STAGGER	 0.0928134	 0.0910238	 0.1602219	
10000	16	REVERSE_BA	SAWTOTH	 0.0897783	 0.0876531	 0.1004303	
10000	16	REVERSE_BA	_RANDOM	 0.1987652	! 0.1233017	 0.1013043	
10000	16	REVERSE_BA	PLATEAU	 0.0044456	 0.0044443	 0.0041459	
10000	16	REVERSE_BA	SHUFFLE	 0.1925529	 0.1335201	 0.1849443	
10000	16	REVERSE_FR	SPIRAL	 0.2920480	 0.0814876	 0.1653808	
10000	16	REVERSE_FR	STAGGER	 0.0912493	 0.0833399	 0.1640149	
10000	16	REVERSE_FR	SAWTOTH	 0.1070718	 0.1066496	 0.0998167	
10000	16	REVERSE_FR	_RANDOM	 0.2021360	! 0.1203341	 0.1010699	
10000	16	REVERSE_FR	PLATEAU	 0.0051760	 0.0044704	 0.0280410	
10000	16	REVERSE_FR	SHUFFLE	 0.1776039	 0.1356855	 0.1842920	
10000	256	IDENT_____	SPIRAL	 0.0858497	 0.0845311	 0.1741375	
10000	256	IDENT_____	STAGGER	 0.5472316	 0.1383690	 0.1605249	
10000	256	IDENT_____	SAWTOTH	 0.0981180	 0.1063976	 0.1035833	
10000	256	IDENT_____	_RANDOM	 0.4133888	 0.0689855	 0.1035217	
10000	256	IDENT_____	PLATEAU	 0.0044677	 0.0044784	 0.0041775	
10000	256	IDENT_____	SHUFFLE	 0.0698417	! 0.0887788	 0.1803752	
10000	256	REVERSE___	SPIRAL	 0.2556480	 0.0944240	 0.1739242	
10000	256	REVERSE___	STAGGER	 0.5229054	 0.1292918	 0.1615062	
10000	256	REVERSE___	SAWTOTH	 0.1219305	 0.1075940	 0.1053689	
10000	256	REVERSE___	_RANDOM	 0.4172273	 0.0692194	 0.1023070	
10000	256	REVERSE___	PLATEAU	 0.0047431	 0.0046746	 0.0117420	
10000	256	REVERSE___	SHUFFLE	 0.0771482	 0.0775613	 0.1804179	
10000	256	DITHER____	SPIRAL	 0.2107490	 0.0893674	 0.1700378	
10000	256	DITHER____	STAGGER	 0.5239802	 0.1140164	 0.1643811	
10000	256	DITHER____	SAWTOTH	 0.3356803	 0.0914310	 0.1083702	
10000	256	DITHER____	_RANDOM	 0.4267164	! 0.1474266	 0.1125019	
10000	256	DITHER____	PLATEAU	 0.0294542	 0.0298190	 0.1061092	
10000	256	DITHER____	SHUFFLE	 0.0844212	 0.1195973	 0.1806160	
10000	256	REVERSE_BA	SPIRAL	 0.0996217	 0.0983991	 0.1723509	
10000	256	REVERSE_BA	STAGGER	 0.5296260	 0.1151180	 0.1614143	
10000	256	REVERSE_BA	SAWTOTH	 0.1007225	 0.0993542	 0.1036786	
10000	256	REVERSE_BA	_RANDOM	 0.4130265	 0.0800891	 0.1022186	
10000	256	REVERSE_BA	PLATEAU	 0.0044432	 0.0044649	 0.0041467	
10000	256	REVERSE_BA	SHUFFLE	 0.0851026	! 0.0923734	 0.1789462	
10000	256	REVERSE_FR	SPIRAL	 0.2001970	 0.1006117	 0.1760439	
10000	256	REVERSE_FR	STAGGER	 0.5312652	 0.1139412	 0.1622392	
10000	256	REVERSE_FR	SAWTOTH	 0.1035266	 0.1098118	 0.1059059	
