Test[PLATEAU | IDENT_____] statsAbsDelta: [999999: µ=2.560002560002612E-4 σ=0.015997967864839063 (6249.199947996436 %) rms=0.016253968120839325 min=0.0 max=1.0 sum=256.0000000000052]
Test[PLATEAU | REVERSE___] stats        : [1000000: µ=255.96710400000026 σ=2.3715268240784226 (0.9264967204842152 %) rms=258.3386308240787 min=0.0 max=256.0 sum=2.5596710400000027E8]
Test[PLATEAU | REVERSE___] statsDelta   : [999999: µ=-2.5600025600025587E-4 σ=0.01599796786483882 (-6249.19994799647 %) rms=0.015741967608838565 min=-1.0 max=0.0 sum=-255.99999999999986]
Test[PLATEAU | REVERSE___] statsAbsDelta: [999999: µ=2.5600025600025587E-4 σ=0.01599796786483882 (6249.19994799647 %) rms=0.016253968120839075 min=0.0 max=1.0 sum=255.99999999999986]
Test[PLATEAU | REVERSE_FR] stats        : [1000000: µ=255.96710400000623 σ=2.3715268240783898 (0.9264967204841806 %) rms=258.33863082408465 min=0.0 max=256.0 sum=2.5596710400000623E8]
Test[PLATEAU | REVERSE_FR] statsDelta   : [999999: µ=-2.1684065133775016E-19 σ=0.2564997691699998 (-1.1828952163147525E20 %) rms=0.2564997691699998 min=-1.0 max=256.0 sum=-2.1684043449709882E-13]
Test[PLATEAU | REVERSE_FR] statsAbsDelta: [999999: µ=5.120005120005125E-4 σ=0.2564992581655456 (50097.46126294671 %) rms=0.2570112586775461 min=0.0 max=256.0 sum=512.0000000000005]
Test[PLATEAU | REVERSE_BA] stats        : [1000000: µ=255.96710400000399 σ=2.3715268240783725 (0.926496720484182 %) rms=258.3386308240824 min=0.0 max=256.0 sum=2.55967104000004E8]
Test[PLATEAU | REVERSE_BA] statsDelta   : [999999: µ=2.560002560002612E-4 σ=0.015997967864839063 (6249.199947996436 %) rms=0.016253968120839325 min=0.0 max=1.0 sum=256.0000000000052]
Test[PLATEAU | REVERSE_BA] statsAbsDelta: [999999: µ=2.560002560002612E-4 σ=0.015997967864839063 (6249.199947996436 %) rms=0.016253968120839325 min=0.0 max=1.0 sum=256.0000000000052]
Test[PLATEAU | SORT______] stats        : [1000000: µ=255.96710400000399 σ=2.3715268240783725 (0.926496720484182 %) rms=258.3386308240824 min=0.0 max=256.0 sum=2.55967104000004E8]
Test[PLATEAU | SORT______] statsDelta   : [999999: µ=2.560002560002612E-4 σ=0.015997967864839063 (6249.199947996436 %) rms=0.016253968120839325 min=0.0 max=1.0 sum=256.0000000000052]
Test[PLATEAU | SORT______] statsAbsDelta: [999999: µ=2.560002560002612E-4 σ=0.015997967864839063 (6249.199947996436 %) rms=0.016253968120839325 min=0.0 max=1.0 sum=256.0000000000052]
