Test[SAWTOTH | REVERSE_FR] statsDelta   : [999999: µ=0.5000005000004962 σ=500.00124999868734 (100000.14999948822 %) rms=500.50125049868785 min=-1.0 max=500000.0 sum=499999.9999999962]
Test[SAWTOTH | REVERSE_FR] statsAbsDelta: [999999: µ=1.4999994999995188 σ=499.9992499996873 (33333.29444442133 %) rms=501.49924949968687 min=1.0 max=500000.0 sum=1499998.0000000189]
Test[SAWTOTH | REVERSE_BA] stats        : [1000000: µ=499999.4999999938 σ=288675.2789323435 (57.735113521582946 %) rms=788674.7789323373 min=0.0 max=999999.0 sum=4.999994999999938E11]
Test[SAWTOTH | REVERSE_BA] statsDelta   : [999999: µ=0.5000005000005041 σ=500.0012499986927 (100000.14999948771 %) rms=500.5012504986932 min=-1.0 max=500000.0 sum=500000.00000000413]
Test[SAWTOTH | REVERSE_BA] statsAbsDelta: [999999: µ=1.4999994999995188 σ=499.9992499996873 (33333.29444442133 %) rms=501.49924949968687 min=1.0 max=500000.0 sum=1499998.0000000189]
Test[SAWTOTH | SORT______] stats        : [1000000: µ=499999.5 σ=288675.27893234405 (57.735113521582335 %) rms=788674.778932344 min=0.0 max=999999.0 sum=4.999995E11]
Test[SAWTOTH | SORT______] statsDelta   : [999999: µ=1.0 σ=0.0 (0.0 %) rms=1.0 min=1.0 max=1.0 sum=999999.0]
Test[SAWTOTH | SORT______] statsAbsDelta: [999999: µ=1.0 σ=0.0 (0.0 %) rms=1.0 min=1.0 max=1.0 sum=999999.0]
Test[SAWTOTH | DITHER____] stats        : [1000000: µ=500001.4999995588 σ=288675.27894291206 (57.73488258398561 %) rms=788676.7789424709 min=0.0 max=1000003.0 sum=5.000014999995588E11]
Test[SAWTOTH | DITHER____] statsDelta   : [999999: µ=1.0000040000039763 σ=1.9999979999910056 (199.9990000023053 %) rms=3.000001999994982 min=-3.0 max=2.0 sum=1000002.9999999763]
Test[SAWTOTH | DITHER____] statsAbsDelta: [999999: µ=2.1999991999990476 σ=0.3999995999982017 (18.18180661149217 %) rms=2.599998799997249 min=2.0 max=3.0 sum=2199996.9999998477]
Test[_RANDOM | IDENT_____] stats        : [1000000: µ=499965.2491310068 σ=288957.61496269004 (57.795539883007734 %) rms=788922.8640936969 min=0.0 max=999998.0 sum=4.9996524913100684E11]
Test[_RANDOM | IDENT_____] statsDelta   : [999999: µ=-0.4168314168314389 σ=408543.7769927979 (-9.801175259253734E7 %) rms=408543.3601613811 min=-998677.0 max=999276.0 sum=-416831.00000002206]
Test[_RANDOM | IDENT_____] statsAbsDelta: [999999: µ=333543.5512705634 σ=235916.523105151 (70.73035056635844 %) rms=569460.0743757144 min=1.0 max=999276.0 sum=3.3354321772701215E11]
Test[_RANDOM | REVERSE___] stats        : [1000000: µ=499965.24913100374 σ=288957.6149626922 (57.79553988300852 %) rms=788922.864093696 min=0.0 max=999998.0 sum=4.999652491310037E11]
Test[_RANDOM | REVERSE___] statsDelta   : [999999: µ=0.4168314168313828 σ=408543.77699279506 (9.801175259254983E7 %) rms=408544.1938242119 min=-999276.0 max=998677.0 sum=416830.99999996595]
Test[_RANDOM | REVERSE___] statsAbsDelta: [999999: µ=333543.55127055006 σ=235916.52310514546 (70.73035056635962 %) rms=569460.0743756955 min=1.0 max=999276.0 sum=3.335432177269988E11]
Test[_RANDOM | REVERSE_FR] stats        : [1000000: µ=499965.2491309931 σ=288957.61496269243 (57.7955398830098 %) rms=788922.8640936855 min=0.0 max=999998.0 sum=4.999652491309931E11]
Test[_RANDOM | REVERSE_FR] statsDelta   : [999999: µ=-0.15183415183408552 σ=408543.69533805584 (-2.690723334658502E8 %) rms=408543.543503904 min=-998406.0 max=999276.0 sum=-151833.9999999337]
Test[_RANDOM | REVERSE_FR] statsAbsDelta: [999999: µ=333543.29949727945 σ=235916.7376630853 (70.73046828362672 %) rms=569460.0371603648 min=1.0 max=999276.0 sum=3.3354296595398E11]
Test[_RANDOM | REVERSE_BA] stats        : [1000000: µ=499965.2491310027 σ=288957.6149626935 (57.79553988300891 %) rms=788922.8640936962 min=0.0 max=999998.0 sum=4.999652491310027E11]
Test[_RANDOM | REVERSE_BA] statsDelta   : [999999: µ=-0.006612006612050303 σ=408543.72349894233 (-6.178816015615839E9 %) rms=408543.7168869357 min=-999276.0 max=998406.0 sum=-6612.000000043691]
Test[_RANDOM | REVERSE_BA] statsAbsDelta: [999999: µ=333543.44471944787 σ=235916.5811120875 (70.73039055242808 %) rms=569460.0258315353 min=1.0 max=999276.0 sum=3.335431111760032E11]
Test[_RANDOM | SORT______] stats        : [1000000: µ=499965.2491309908 σ=288957.61496270535 (57.795539883012644 %) rms=788922.8640936962 min=0.0 max=999998.0 sum=4.9996524913099084E11]
Test[_RANDOM | SORT______] statsDelta   : [999999: µ=0.9999989999989827 σ=1.0786525515575824 (107.865363021231 %) rms=2.078651551556565 min=0.0 max=13.0 sum=999997.9999999827]
Test[_RANDOM | SORT______] statsAbsDelta: [999999: µ=0.9999989999989827 σ=1.0786525515575824 (107.865363021231 %) rms=2.078651551556565 min=0.0 max=13.0 sum=999997.9999999827]
Test[_RANDOM | DITHER____] stats        : [1000000: µ=499967.2491309955 σ=288957.617311821 (57.79530915556266 %) rms=788924.8664428166 min=3.0 max=1000002.0 sum=4.999672491309955E11]
Test[_RANDOM | DITHER____] statsDelta   : [999999: µ=-0.41682741682744423 σ=408543.7815156767 (-9.801269422850926E7 %) rms=408543.3646882599 min=-998676.0 max=999277.0 sum=-416827.0000000274]
Test[_RANDOM | DITHER____] statsAbsDelta: [999999: µ=333543.5537765431 σ=235916.5273945069 (70.73035132094284 %) rms=569460.08117105 min=1.0 max=999277.0 sum=3.335432202329893E11]
Test[PLATEAU | IDENT_____] stats        : [1000000: µ=499999.5 σ=288675.27893234405 (57.735113521582335 %) rms=788674.778932344 min=0.0 max=999999.0 sum=4.999995E11]
Test[PLATEAU | IDENT_____] statsDelta   : [999999: µ=1.0 σ=0.0 (0.0 %) rms=1.0 min=1.0 max=1.0 sum=999999.0]
Test[PLATEAU | IDENT_____] statsAbsDelta: [999999: µ=1.0 σ=0.0 (0.0 %) rms=1.0 min=1.0 max=1.0 sum=999999.0]
Test[PLATEAU | REVERSE___] stats        : [1000000: µ=499999.5 σ=288675.27893234405 (57.735113521582335 %) rms=788674.778932344 min=0.0 max=999999.0 sum=4.999995E11]
Test[PLATEAU | REVERSE___] statsDelta   : [999999: µ=-1.0 σ=0.0 (-0.0 %) rms=-1.0 min=-1.0 max=-1.0 sum=-999999.0]
Test[PLATEAU | REVERSE___] statsAbsDelta: [999999: µ=1.0 σ=0.0 (0.0 %) rms=1.0 min=1.0 max=1.0 sum=999999.0]
Test[PLATEAU | REVERSE_FR] stats        : [1000000: µ=499999.5 σ=288675.27893234405 (57.735113521582335 %) rms=788674.778932344 min=0.0 max=999999.0 sum=4.999995E11]
Test[PLATEAU | REVERSE_FR] statsDelta   : [999999: µ=0.5000005000004962 σ=500.00124999868734 (100000.14999948822 %) rms=500.50125049868785 min=-1.0 max=500000.0 sum=499999.9999999962]
Test[PLATEAU | REVERSE_FR] statsAbsDelta: [999999: µ=1.4999994999995188 σ=499.9992499996873 (33333.29444442133 %) rms=501.49924949968687 min=1.0 max=500000.0 sum=1499998.0000000189]
Test[PLATEAU | REVERSE_BA] stats        : [1000000: µ=499999.4999999938 σ=288675.2789323435 (57.735113521582946 %) rms=788674.7789323373 min=0.0 max=999999.0 sum=4.999994999999938E11]
Test[PLATEAU | REVERSE_BA] statsDelta   : [999999: µ=0.5000005000005041 σ=500.0012499986927 (100000.14999948771 %) rms=500.5012504986932 min=-1.0 max=500000.0 sum=500000.00000000413]
Test[PLATEAU | REVERSE_BA] statsAbsDelta: [999999: µ=1.4999994999995188 σ=499.9992499996873 (33333.29444442133 %) rms=501.49924949968687 min=1.0 max=500000.0 sum=1499998.0000000189]
Test[PLATEAU | SORT______] stats        : [1000000: µ=499999.5 σ=288675.27893234405 (57.735113521582335 %) rms=788674.778932344 min=0.0 max=999999.0 sum=4.999995E11]
Test[PLATEAU | SORT______] statsDelta   : [999999: µ=1.0 σ=0.0 (0.0 %) rms=1.0 min=1.0 max=1.0 sum=999999.0]
Test[PLATEAU | SORT______] statsAbsDelta: [999999: µ=1.0 σ=0.0 (0.0 %) rms=1.0 min=1.0 max=1.0 sum=999999.0]
