Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	SYSTEM	DPQ_11	DPQS_2105_REF	DPQS_2105_NEW	
10000	16	DITHER____	SHUFFLE	 0.1891523	 0.2901044	 0.1104315	 0.1107727	
10000	16	REVERSE_BA	SPIRAL	 0.2586144	 0.2844656	 0.0815884	 0.0830908	
10000	16	REVERSE_BA	STAGGER	 0.0928128	 0.1101562	 0.0823259	 0.0808992	
10000	16	REVERSE_BA	SAWTOTH	 0.0908313	 0.1087033	 0.0875453	 0.0888895	
10000	16	REVERSE_BA	_RANDOM	 0.1981972	 0.2013043	! 0.1235179	! 0.1090188	
10000	16	REVERSE_BA	PLATEAU	 0.0044541	 0.0044420	 0.0044467	 0.0044393	
10000	16	REVERSE_BA	SHUFFLE	 0.1914259	 0.2389016	 0.1334481	 0.1330599	
10000	16	REVERSE_FR	SPIRAL	 0.2915890	 0.3095138	 0.0814388	 0.0827840	
10000	16	REVERSE_FR	STAGGER	 0.0911721	 0.1040046	 0.0896032	 0.0895646	
10000	16	REVERSE_FR	SAWTOTH	 0.1062133	 0.1182147	 0.1045156	 0.1062983	
10000	16	REVERSE_FR	_RANDOM	 0.2020353	 0.2026979	! 0.1197892	! 0.1080486	
10000	16	REVERSE_FR	PLATEAU	 0.0051940	 0.0304193	 0.0044527	 0.0044460	
10000	16	REVERSE_FR	SHUFFLE	 0.1776110	 0.2625121	 0.1358453	 0.1351666	
10000	256	IDENT_____	SPIRAL	 0.0858506	 0.1250836	 0.0845699	 0.0845872	
10000	256	IDENT_____	STAGGER	 0.5470379	 0.5324384	 0.1307677	 0.1377298	
10000	256	IDENT_____	SAWTOTH	 0.1075584	 0.1409200	 0.1063342	 0.1063342	
10000	256	IDENT_____	_RANDOM	 0.4123011	 0.4667572	 0.0691606	 0.0689472	
10000	256	IDENT_____	PLATEAU	 0.0044502	 0.0044430	 0.0044322	 0.0044565	
10000	256	IDENT_____	SHUFFLE	 0.0698402	 0.1181059	! 0.0890226	! 0.0894366	
10000	256	REVERSE___	SPIRAL	 0.2576971	 0.1998594	 0.0944388	 0.0926590	
