Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_11_12	DPQ_21_04_24	RADIX	
1000	16	REVERSE_FR	PLATEAU	 0.0000723	 0.0042373	 0.0003830	 0.0003804	 0.0006430	
1000	16	REVERSE_FR	SHUFFLE	 0.0000723	 0.0167769	 0.0111401	 0.0106967	 0.0208613	
1000	16	REVERSE_BA	SPIRAL	 0.0000723	 0.0159102	 0.0173449	 0.0175777	 0.0203464	
1000	16	REVERSE_BA	STAGGER	 0.0000722	 0.0208168	 0.0170060	 0.0180273	 0.0180822	
1000	16	REVERSE_BA	SAWTOTH	 0.0000723	 0.0263401	 0.0067229	 0.0066871	 0.0153038	
1000	16	REVERSE_BA	_RANDOM	 0.0000723	 0.0083638	 0.0078930	 0.0076763	 0.0151403	
1000	16	REVERSE_BA	PLATEAU	 0.0000723	 0.0005982	 0.0005007	 0.0005003	 0.0008738	
1000	16	REVERSE_BA	SHUFFLE	 0.0000722	 0.0186967	 0.0134383	 0.0128388	 0.0217084	
1000	256	IDENT_____	SPIRAL	 0.0000723	 0.0075743	 0.0045677	 0.0045779	 0.0102372	
1000	256	IDENT_____	STAGGER	 0.0000723	 0.0151697	 0.0182051	 0.0183298	 0.0169096	
1000	256	IDENT_____	SAWTOTH	 0.0000722	 0.0079488	 0.0061447	 0.0061404	 0.0073262	
1000	256	IDENT_____	_RANDOM	 0.0000723	 0.0235713	 0.0219263	 0.0187238	 0.0148663	
1000	256	IDENT_____	PLATEAU	 0.0000723	 0.0005984	 0.0004998	 0.0005005	 0.0008733	
1000	256	IDENT_____	SHUFFLE	 0.0000722	 0.0055114	! 0.0034009	! 0.0031566	 0.0055447	
1000	256	REVERSE___	SPIRAL	 0.0000722	 0.0098961	 0.0139990	 0.0158862	 0.0087522	
1000	256	REVERSE___	STAGGER	 0.0000723	 0.0181116	 0.0191431	 0.0164302	 0.0168577	
1000	256	REVERSE___	SAWTOTH	 0.0000724	 0.0081936	 0.0057380	 0.0057199	 0.0084380	
1000	256	REVERSE___	_RANDOM	 0.0000722	 0.0180614	 0.0219618	 0.0218029	 0.0148598	
1000	256	REVERSE___	PLATEAU	 0.0000722	 0.0011874	 0.0008317	 0.0008317	 0.0010358	
1000	256	REVERSE___	SHUFFLE	 0.0000722	 0.0061372	 0.0037105	 0.0036746	 0.0047471	
1000	256	SORT______	SPIRAL	 0.0000722	 0.0005986	 0.0005007	 0.0004867	 0.0008740	
1000	256	SORT______	STAGGER	 0.0000722	 0.0005988	 0.0005004	 0.0004994	 0.0008719	
