Parsing sort-10k,100k,1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	DPQ_11	DPQ_19_11_12	DPQ_21_04_24	
1000000	256	IDENT_____	PLATEAU	 1.3265910	 1.1897912	 1.2223271	
1000000	256	IDENT_____	SHUFFLE	 26.7184957	 13.0424302	! 19.6780856	
1000000	256	REVERSE___	SPIRAL	 26.6275169	 25.7673555	 11.6385873	
1000000	256	REVERSE___	STAGGER	 86.9985108	 24.0228747	 23.4193939	
1000000	256	REVERSE___	SAWTOTH	 26.4014299	 29.9577051	 32.5042165	
1000000	256	REVERSE___	_RANDOM	 53.2601962	 49.2582860	! 8.9957183	
1000000	256	REVERSE___	PLATEAU	 2.1056056	 1.0105709	 1.0101444	
1000000	256	REVERSE___	SHUFFLE	 25.3242778	 16.1794869	 22.0981386	
1000000	256	DITHER____	SPIRAL	 34.4178246	 30.2872410	 11.7948335	
1000000	256	DITHER____	STAGGER	 91.0130447	 20.7709825	 20.6908924	
1000000	256	DITHER____	SAWTOTH	 33.7239262	 32.5625791	 9.1176785	
1000000	256	DITHER____	_RANDOM	 48.1109720	 48.2729817	 9.1886587	
1000000	256	DITHER____	PLATEAU	 4.0659680	 3.8815584	 4.3177653	
1000000	256	DITHER____	SHUFFLE	 33.2139061	 13.8888680	 26.7668741	
1000000	256	REVERSE_BA	SPIRAL	 32.6034650	 34.6534795	 12.4593253	
1000000	256	REVERSE_BA	STAGGER	 85.1345693	 20.3938284	 20.3670017	
1000000	256	REVERSE_BA	SAWTOTH	 27.3923885	 34.7690750	 31.6036541	
1000000	256	REVERSE_BA	_RANDOM	 52.0511126	 47.8493930	 7.0358331	
1000000	256	REVERSE_BA	PLATEAU	 1.3261587	 1.1952111	 1.2084649	
1000000	256	REVERSE_BA	SHUFFLE	 26.7564727	 15.0277503	 21.4978801	
1000000	256	REVERSE_FR	SPIRAL	 32.8945553	 26.0488849	 11.4584263	
1000000	256	REVERSE_FR	STAGGER	 86.9317896	 22.3340575	 22.7302242	
1000000	256	REVERSE_FR	SAWTOTH	 28.0960900	 28.7418443	 29.9071081	
1000000	256	REVERSE_FR	_RANDOM	 50.3054454	 41.6308903	 6.1434854	
1000000	256	REVERSE_FR	PLATEAU	 4.1670210	 0.6978804	 0.6696644	
1000000	256	REVERSE_FR	SHUFFLE	 25.0479348	 15.0496406	 20.3880185	
