Parsing sort-500.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_04_05	DPQ_19_05_01	
500	16	SORT______	_RANDOM	 0.0000358	 0.0002044	 0.0002143	 0.0002151	
500	16	SORT______	PLATEAU	 0.0000358	 0.0002015	 0.0002129	 0.0002134	
500	16	SORT______	SHUFFLE	 0.0000360	 0.0002011	 0.0002077	 0.0002125	
500	16	DITHER____	SPIRAL	 0.0000417	 0.0102903	 0.0042453	 0.0042154	
500	16	DITHER____	STAGGER	 0.0000366	 0.0076056	 0.0064802	 0.0064851	
500	16	DITHER____	SAWTOTH	 0.0000366	 0.0039150	 0.0047053	 0.0047401	
500	16	DITHER____	_RANDOM	 0.0000366	 0.0036833	 0.0039829	 0.0040284	
500	16	DITHER____	PLATEAU	 0.0000366	 0.0027329	 0.0021290	 0.0021158	
500	16	DITHER____	SHUFFLE	 0.0000414	 0.0047030	 0.0036414	 0.0036087	
500	64	IDENT_____	SPIRAL	 0.0000484	 0.0042165	 0.0068165	 0.0068397	
500	64	IDENT_____	STAGGER	 0.0000366	 0.0111711	 0.0057578	 0.0057284	
500	64	IDENT_____	SAWTOTH	 0.0000366	 0.0038575	 0.0061331	 0.0061325	
500	64	IDENT_____	_RANDOM	 0.0000366	 0.0058837	 0.0063002	 0.0062167	
500	64	IDENT_____	PLATEAU	 0.0000417	 0.0001960	 0.0002043	 0.0002047	
500	64	IDENT_____	SHUFFLE	 0.0000364	 0.0030321	 0.0018348	 0.0018462	
500	64	REVERSE___	SPIRAL	 0.0000413	 0.0055877	 0.0075524	 0.0075533	
500	64	REVERSE___	STAGGER	 0.0000365	 0.0110648	 0.0065309	 0.0065474	
500	64	REVERSE___	SAWTOTH	 0.0000365	 0.0045469	 0.0073146	 0.0073488	
500	64	REVERSE___	_RANDOM	 0.0000366	 0.0054476	 0.0061436	 0.0061241	
500	64	REVERSE___	PLATEAU	 0.0000416	 0.0004561	 0.0002016	 0.0002007	
500	64	REVERSE___	SHUFFLE	 0.0000414	 0.0031300	! 0.0024708	! 0.0024819	
500	64	REVERSE_FR	SPIRAL	 0.0000476	 0.0053111	 0.0066740	 0.0067005	
500	64	REVERSE_FR	STAGGER	 0.0000365	 0.0109389	 0.0069447	 0.0069508	
500	64	REVERSE_FR	SAWTOTH	 0.0000366	 0.0058645	 0.0068497	 0.0068649	
500	64	REVERSE_FR	_RANDOM	 0.0000366	 0.0051723	 0.0065436	 0.0065366	
500	64	REVERSE_FR	PLATEAU	 0.0000365	 0.0014314	 0.0002735	 0.0002764	
500	64	REVERSE_FR	SHUFFLE	 0.0000366	 0.0038894	 0.0036264	 0.0038127	
500	64	REVERSE_BA	SPIRAL	 0.0000476	 0.0056769	 0.0076845	 0.0076951	
500	64	REVERSE_BA	STAGGER	 0.0000366	 0.0107730	 0.0072691	 0.0072473	
500	64	REVERSE_BA	SAWTOTH	 0.0000365	 0.0060691	 0.0068667	 0.0069149	
500	64	REVERSE_BA	_RANDOM	 0.0000366	 0.0061912	 0.0068099	 0.0067536	
500	64	REVERSE_BA	PLATEAU	 0.0000366	 0.0002014	 0.0002086	 0.0002102	
500	64	REVERSE_BA	SHUFFLE	 0.0000414	 0.0041831	 0.0030353	 0.0030272	
500	64	SORT______	SPIRAL	 0.0000465	 0.0001906	 0.0001978	 0.0001975	
500	64	SORT______	STAGGER	 0.0000358	 0.0002032	 0.0002156	 0.0002130	
500	64	SORT______	SAWTOTH	 0.0000359	 0.0002027	 0.0002173	 0.0002171	
500	64	SORT______	_RANDOM	 0.0000360	 0.0002031	 0.0002123	 0.0002103	
500	64	SORT______	PLATEAU	 0.0000397	 0.0001978	 0.0002106	 0.0002103	
500	64	SORT______	SHUFFLE	 0.0000359	 0.0002010	 0.0002139	 0.0002140	
500	64	DITHER____	SPIRAL	 0.0000485	 0.0079424	 0.0053283	 0.0053438	
500	64	DITHER____	STAGGER	 0.0000365	 0.0111533	 0.0057590	 0.0057308	
500	64	DITHER____	SAWTOTH	 0.0000365	 0.0064701	 0.0058247	 0.0058124	
500	64	DITHER____	_RANDOM	 0.0000366	 0.0057255	 0.0068973	 0.0069868	
500	64	DITHER____	PLATEAU	 0.0000365	 0.0026215	 0.0021866	 0.0022491	
500	64	DITHER____	SHUFFLE	 0.0000365	 0.0032807	 0.0021361	 0.0021192	
500	256	IDENT_____	SPIRAL	 0.0000412	 0.0017561	 0.0011707	 0.0011744	
500	256	IDENT_____	STAGGER	 0.0000365	 0.0078548	 0.0078111	 0.0077913	
