Parsing sort-0.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_05_01	DPQ_19_08_09	
50	7	REVERSE___	PLATEAU	 0.0000158	 0.0000681	 0.0000361	 0.0000353	
50	7	REVERSE___	SHUFFLE	 0.0000159	 0.0002570	 0.0003004	 0.0002904	
50	7	SORT______	SPIRAL	 0.0000159	 0.0000754	 0.0000269	 0.0000289	
50	7	SORT______	STAGGER	 0.0000158	 0.0000754	 0.0000248	 0.0000248	
50	7	SORT______	SAWTOTH	 0.0000158	 0.0000787	 0.0000284	 0.0000293	
50	7	SORT______	_RANDOM	 0.0000159	 0.0001005	 0.0000281	 0.0000294	
50	7	SORT______	PLATEAU	 0.0000159	 0.0000440	 0.0000269	 0.0000289	
50	7	SORT______	SHUFFLE	 0.0000158	 0.0000756	 0.0000270	 0.0000290	
50	7	DITHER____	SPIRAL	 0.0000158	 0.0002837	 0.0002497	 0.0002521	
50	7	DITHER____	STAGGER	 0.0000158	 0.0005393	 0.0003453	 0.0003395	
50	7	DITHER____	SAWTOTH	 0.0000159	 0.0002662	 0.0003360	 0.0003455	
50	7	DITHER____	_RANDOM	 0.0000159	 0.0003045	 0.0002753	 0.0002821	
50	7	DITHER____	PLATEAU	 0.0000158	 0.0002407	 0.0002209	 0.0002154	
50	7	DITHER____	SHUFFLE	 0.0000159	 0.0002260	 0.0002067	 0.0002083	
50	7	REVERSE___	SPIRAL	 0.0000158	 0.0002741	 0.0003064	 0.0003026	
50	7	REVERSE___	STAGGER	 0.0000158	 0.0003150	 0.0003504	 0.0003506	
50	7	REVERSE___	SAWTOTH	 0.0000158	 0.0003435	 0.0002935	 0.0002883	
50	7	REVERSE___	_RANDOM	 0.0000158	 0.0002855	 0.0002395	 0.0002689	
50	7	REVERSE___	PLATEAU	 0.0000158	 0.0000681	 0.0000360	 0.0000353	
50	7	REVERSE___	SHUFFLE	 0.0000158	 0.0002571	 0.0002995	 0.0002904	
50	7	REVERSE_FR	SPIRAL	 0.0000158	 0.0005212	 0.0002662	 0.0002680	
50	7	REVERSE_FR	STAGGER	 0.0000159	 0.0003149	 0.0004074	 0.0004027	
50	7	REVERSE_FR	SAWTOTH	 0.0000158	 0.0003034	 0.0003061	 0.0003061	
50	7	REVERSE_FR	_RANDOM	 0.0000158	 0.0002788	 0.0002722	 0.0002736	
50	7	REVERSE_FR	PLATEAU	 0.0000158	 0.0000705	 0.0001476	 0.0000435	
