Parsing sort-100,500,5000.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_02_10	DPQ_19_04_05	
100	256	DITHER____	SPIRAL	 0.0000166	 0.0003399	 0.0001025	 0.0001022	
100	256	DITHER____	STAGGER	 0.0000166	 0.0009012	 0.0009894	 0.0009887	
100	256	DITHER____	SAWTOTH	 0.0000166	 0.0003578	 0.0004161	 0.0003666	
100	256	DITHER____	_RANDOM	 0.0000166	 0.0008295	 0.0008855	 0.0008596	
100	256	DITHER____	PLATEAU	 0.0000166	 0.0003573	 0.0004124	 0.0003669	
100	256	DITHER____	SHUFFLE	 0.0000166	 0.0002647	 0.0003822	 0.0003546	
100	1024	IDENT_____	SPIRAL	 0.0000166	 0.0004086	 0.0000995	 0.0000991	
100	1024	IDENT_____	STAGGER	 0.0000166	 0.0002896	 0.0004600	 0.0004323	
100	1024	IDENT_____	SAWTOTH	 0.0000166	 0.0001189	 0.0000459	 0.0000456	
100	1024	IDENT_____	_RANDOM	 0.0000166	 0.0007742	 0.0009083	 0.0008666	
100	1024	IDENT_____	PLATEAU	 0.0000166	 0.0001184	 0.0000456	 0.0000456	
100	1024	IDENT_____	SHUFFLE	 0.0000166	 0.0001191	 0.0000455	 0.0000456	
100	1024	REVERSE___	SPIRAL	 0.0000166	 0.0001180	 0.0000455	 0.0000456	
100	1024	REVERSE___	STAGGER	 0.0000166	 0.0002626	 0.0004719	 0.0002916	
100	1024	REVERSE___	SAWTOTH	 0.0000166	 0.0004125	 0.0000994	 0.0000991	
100	1024	REVERSE___	_RANDOM	 0.0000166	 0.0007748	 0.0009005	 0.0008404	
100	1024	REVERSE___	PLATEAU	 0.0000166	 0.0004073	 0.0000994	 0.0000991	
100	1024	REVERSE___	SHUFFLE	 0.0000166	 0.0004031	 0.0000999	 0.0000991	
100	1024	REVERSE_FR	SPIRAL	 0.0000166	 0.0006961	 0.0002125	 0.0012209	
100	1024	REVERSE_FR	STAGGER	 0.0000166	 0.0002711	 0.0003798	 0.0003805	
100	1024	REVERSE_FR	SAWTOTH	 0.0000166	 0.0004057	 0.0000871	 0.0000854	
100	1024	REVERSE_FR	_RANDOM	 0.0000166	 0.0007606	 0.0008492	 0.0009011	
100	1024	REVERSE_FR	PLATEAU	 0.0000166	 0.0004073	 0.0000856	 0.0000854	
100	1024	REVERSE_FR	SHUFFLE	 0.0000166	 0.0004162	 0.0000870	 0.0000854	
100	1024	REVERSE_BA	SPIRAL	 0.0000167	 0.0007550	 0.0011373	 0.0011947	
100	1024	REVERSE_BA	STAGGER	 0.0000166	 0.0003010	 0.0004630	 0.0004537	
100	1024	REVERSE_BA	SAWTOTH	 0.0000166	 0.0002185	 0.0002969	 0.0003769	
100	1024	REVERSE_BA	_RANDOM	 0.0000166	 0.0007854	 0.0008467	 0.0008776	
100	1024	REVERSE_BA	PLATEAU	 0.0000166	 0.0002187	 0.0002971	 0.0003814	
100	1024	REVERSE_BA	SHUFFLE	 0.0000166	 0.0002179	 0.0002955	 0.0003789	
100	1024	SORT______	SPIRAL	 0.0000159	 0.0001185	 0.0000464	 0.0000454	
100	1024	SORT______	STAGGER	 0.0000159	 0.0002202	 0.0000459	 0.0000456	
100	1024	SORT______	SAWTOTH	 0.0000159	 0.0001186	 0.0000454	 0.0000453	
100	1024	SORT______	_RANDOM	 0.0000159	 0.0001157	 0.0000454	 0.0000454	
100	1024	SORT______	PLATEAU	 0.0000159	 0.0001186	 0.0000453	 0.0000454	
100	1024	SORT______	SHUFFLE	 0.0000159	 0.0001212	 0.0000454	 0.0000453	
100	1024	DITHER____	SPIRAL	 0.0000166	 0.0003345	 0.0001026	 0.0001022	
100	1024	DITHER____	STAGGER	 0.0000166	 0.0008066	 0.0012078	 0.0011939	
100	1024	DITHER____	SAWTOTH	 0.0000166	 0.0003514	 0.0004154	 0.0003665	
100	1024	DITHER____	_RANDOM	 0.0000166	 0.0008204	 0.0009175	 0.0009128	
100	1024	DITHER____	PLATEAU	 0.0000166	 0.0003565	 0.0004149	 0.0003670	
100	1024	DITHER____	SHUFFLE	 0.0000166	 0.0002162	 0.0004401	 0.0003417	
100	4096	IDENT_____	SPIRAL	 0.0000166	 0.0004082	 0.0000995	 0.0000991	
