Parsing results/sort-100000.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11_27	DPQ_18_11I	RADIX	MARLIN	
100000	64	REVERSE___	_RANDOM	 0.0228132	 2.9984897	 3.1086302	 2.6990815	 2.8091301	 0.9785637	 6.4734521	
100000	64	REVERSE___	PLATEAU	 0.0228368	 0.1062598	 0.0325093	 0.0322205	 0.0317617	 0.0405814	 0.4193970	
100000	64	REVERSE___	SHUFFLE	 0.0228433	 2.1429635	 1.2425656	 1.0852103	 1.1353024	 1.8304303	 2.7738106	
100000	64	REVERSE_FR	STAGGER	 0.0227883	 1.6499510	 0.9153845	 0.9787225	 0.9141914	 1.5028641	 2.1517902	
100000	64	REVERSE_FR	SAWTOTH	 0.0228029	 1.6412986	 1.9801824	 1.7046848	 1.7967312	 0.9772677	 3.0898131	
100000	64	REVERSE_FR	_RANDOM	 0.0227957	 2.8606381	 3.1137900	 2.7155207	 3.1397901	 0.9794233	 6.5232364	
100000	64	REVERSE_FR	PLATEAU	 0.0228288	 0.2863769	 0.0326134	 0.0325972	 0.0336279	 0.0282637	 0.4228982	
100000	64	REVERSE_FR	SHUFFLE	 0.0228270	 2.2247202	 1.3401340	 1.0984553	 1.1463875	 1.9642198	 2.4967875	
100000	64	REVERSE_BA	STAGGER	 0.0228082	 1.6265563	 0.8937805	 0.9384532	 0.9279430	 1.4867990	 2.1447300	
100000	64	REVERSE_BA	SAWTOTH	 0.0228222	 1.6443649	 1.6686486	 1.5934245	 1.7508987	 0.9762580	 3.2541794	
100000	64	REVERSE_BA	_RANDOM	 0.0228040	 3.0526279	 3.0012098	 2.8074806	 3.0025592	 0.9792029	 6.5670305	
100000	64	REVERSE_BA	PLATEAU	 0.0228020	 0.0721052	 0.0575247	 0.0659549	 0.0455295	 0.0384672	 0.3849143	
100000	64	REVERSE_BA	SHUFFLE	 0.0228229	 2.0986349	 1.2236583	 1.0064128	 1.2250727	 1.9800633	 2.5701484	
100000	64	SORT______	STAGGER	 0.0228378	 0.0617399	 0.0616337	 0.0593465	 0.0521092	 0.0384138	 0.3306243	
100000	64	SORT______	SAWTOTH	 0.0227444	 0.0617146	 0.0621825	 0.0617954	 0.0592167	 0.0389980	 0.3868597	
100000	64	SORT______	_RANDOM	 0.0227742	 0.0617238	 0.0618087	 0.0635360	 0.0618917	 0.0383140	 0.3872192	
100000	64	SORT______	PLATEAU	 0.0228257	 0.0667760	 0.0479717	 0.0517833	 0.0502695	 0.0384884	 0.3858113	
100000	64	SORT______	SHUFFLE	 0.0228053	 0.0721023	 0.0502129	 0.0679475	 0.0485994	 0.0383932	 0.3306213	
100000	64	DITHER____	STAGGER	 0.0228303	 1.6706927	 0.8627301	 0.8706104	 0.9004541	 1.5007781	 1.7329786	
100000	64	DITHER____	SAWTOTH	 0.0228505	 2.1479072	 2.3921074	 2.0362656	 2.3732422	 0.9765356	 3.2392927	
100000	64	DITHER____	_RANDOM	 0.0228240	 3.0487896	 3.0509964	 2.6964238	 3.0273624	 0.9794846	 6.6398174	
100000	64	DITHER____	PLATEAU	 0.0228390	 0.3532690	 0.2358190	 0.2362443	 0.2293697	 0.9787958	 2.8000294	
100000	64	DITHER____	SHUFFLE	 0.0228437	 2.1912087	 1.4057723	 1.2530139	 1.3623794	 2.0957065	 2.1579346	
100000	256	IDENT_____	STAGGER	 0.0228378	 5.9253237	 5.1444061	 5.5278114	 5.1441234	 1.6821627	 2.2140587	
100000	256	IDENT_____	SAWTOTH	 0.0228226	 2.2191443	 2.5827155	 2.3697768	 2.5682672	 0.9765139	 2.3272072	
100000	256	IDENT_____	_RANDOM	 0.0228252	 4.1692711	 4.1024232	 3.7290990	 4.0914639	 0.9794667	 7.3445258	
100000	256	IDENT_____	PLATEAU	 0.0227776	 0.0664082	 0.0495124	 0.0523104	 0.0575827	 0.0385093	 0.3860152	
100000	256	IDENT_____	SHUFFLE	 0.0228100	 2.1226627	 0.7638263	 0.6046001	 0.7625494	 1.9781466	 1.6418214	
100000	256	REVERSE___	STAGGER	 0.0228179	 5.8918398	 5.2076902	 5.2310330	 5.2380925	 1.6918993	 2.8258201	
100000	256	REVERSE___	SAWTOTH	 0.0227909	 2.1218250	 2.6374209	 2.3822896	 2.5910851	 0.9804272	 2.9565058	
100000	256	REVERSE___	_RANDOM	 0.0259270	 3.7506653	 3.9293026	 3.7854548	 4.0483982	 0.9761934	 7.4490822	
100000	256	REVERSE___	PLATEAU	 0.0228270	 0.1063317	 0.0274740	 0.0318547	 0.0319684	 0.0407709	 0.4195747	
100000	256	REVERSE___	SHUFFLE	 0.0228675	 2.0457795	 1.0453368	 0.9639512	 1.0449794	 1.8475681	 2.3928686	
100000	256	REVERSE_FR	STAGGER	 0.0228284	 5.6814167	 5.7112271	 5.6974503	 5.6266140	 1.6925661	 2.5697947	
100000	256	REVERSE_FR	SAWTOTH	 0.0228316	 2.3874715	 2.9180097	 2.7580424	 2.8782355	 0.9787717	 2.7030307	
100000	256	REVERSE_FR	_RANDOM	 0.0228124	 4.1855024	 4.1222040	 3.8241507	 4.1141099	 0.9797707	 7.4373400	
100000	256	REVERSE_FR	PLATEAU	 0.0228384	 0.2867348	 0.0339854	 0.0328941	 0.0328634	 0.0296467	 0.4256571	
100000	256	REVERSE_FR	SHUFFLE	 0.0228760	 2.1066665	 1.2719168	 0.9847268	 1.2692835	 1.9048750	 2.1513530	
100000	256	REVERSE_BA	STAGGER	 0.0228133	 5.6553657	 5.2444513	 5.2004873	 5.2413360	 1.6834540	 2.5927718	
100000	256	REVERSE_BA	SAWTOTH	 0.0228003	 2.2358935	 2.6224575	 2.4172379	 2.6272001	 0.9757936	 2.6691044	
100000	256	REVERSE_BA	_RANDOM	 0.0227846	 3.9207543	 4.0734011	 3.8634278	 4.0843367	 0.9796768	 7.3285107	
100000	256	REVERSE_BA	PLATEAU	 0.0228376	 0.0721492	 0.0469884	 0.0660015	 0.0470640	 0.0384432	 0.3859278	
100000	256	REVERSE_BA	SHUFFLE	 0.0228833	 1.9854143	 0.9882008	 0.7871884	 0.9900079	 1.9275211	 2.1326754	
