Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	DPQ_11	DPQ_19_11_12	DPQ_21_04_24	
10000	1	REVERSE___	SPIRAL	 0.2451091	 0.2830730	 0.1213761	
10000	1	REVERSE___	STAGGER	 0.0357314	 0.0308510	 0.0306854	
10000	1	REVERSE___	SAWTOTH	 0.0045978	 0.0051500	 0.0052204	
10000	1	REVERSE___	_RANDOM	 0.0045962	 0.0051693	 0.0052078	
10000	1	REVERSE___	PLATEAU	 0.0131086	 0.0045122	 0.0043675	
10000	1	REVERSE___	SHUFFLE	 0.0106445	 0.0113467	 0.0110956	
10000	1	DITHER____	SPIRAL	 0.3073244	 0.2165502	 0.0807762	
10000	1	DITHER____	STAGGER	 0.3280206	 0.3388480	 0.0781752	
10000	1	DITHER____	SAWTOTH	 0.0315626	 0.0297446	 0.0373193	
10000	1	DITHER____	_RANDOM	 0.0316169	 0.0298238	 0.0384308	
10000	1	DITHER____	PLATEAU	 0.0373518	 0.0298033	 0.0384736	
10000	1	DITHER____	SHUFFLE	 0.0547299	 0.0449385	 0.0964474	
10000	1	REVERSE_BA	SPIRAL	 0.3085424	 0.2790280	 0.1216689	
10000	1	REVERSE_BA	STAGGER	 0.0337595	 0.0251877	 0.0251975	
10000	1	REVERSE_BA	SAWTOTH	 0.0045857	 0.0051853	 0.0052297	
10000	1	REVERSE_BA	_RANDOM	 0.0046031	 0.0052000	 0.0052453	
10000	1	REVERSE_BA	PLATEAU	 0.0044610	 0.0055396	 0.0055874	
10000	1	REVERSE_BA	SHUFFLE	 0.0339377	 0.0268026	 0.0267901	
10000	1	REVERSE_FR	SPIRAL	 0.2866845	 0.2308455	 0.1221330	
10000	1	REVERSE_FR	STAGGER	 0.0294991	 0.0263406	 0.0262816	
10000	1	REVERSE_FR	SAWTOTH	 0.0045956	 0.0051872	 0.0052114	
10000	1	REVERSE_FR	_RANDOM	 0.0045958	 0.0051867	 0.0052503	
10000	1	REVERSE_FR	PLATEAU	 0.0285003	 0.0045103	 0.0043684	
10000	1	REVERSE_FR	SHUFFLE	 0.0083771	 0.0085717	 0.0085465	
10000	16	IDENT_____	SPIRAL	 0.2727185	 0.2378650	 0.0681374	
10000	16	IDENT_____	STAGGER	 0.1025191	 0.0745567	 0.0744313	
10000	16	IDENT_____	SAWTOTH	 0.0929459	 0.1018171	 0.1127331	
10000	16	IDENT_____	_RANDOM	! 0.3782699	 0.1955834	! 0.1309953	
10000	16	IDENT_____	PLATEAU	 0.0044611	 0.0055205	 0.0055750	
10000	16	IDENT_____	SHUFFLE	 0.2586566	 0.1531182	 0.1204503	
10000	16	REVERSE___	SPIRAL	 0.2512448	 0.2487622	 0.0688182	
10000	16	REVERSE___	STAGGER	 0.1122446	 0.0808617	 0.0759150	
10000	16	REVERSE___	SAWTOTH	 0.1112806	 0.0592092	 0.0624393	
10000	16	REVERSE___	_RANDOM	 0.1975376	 0.1945669	! 0.1009071	
10000	16	REVERSE___	PLATEAU	 0.0131378	 0.0042480	 0.0042539	
10000	16	REVERSE___	SHUFFLE	 0.2360796	 0.1921181	 0.1080637	
10000	16	DITHER____	SPIRAL	 0.3002304	 0.2318035	 0.0702321	
10000	16	DITHER____	STAGGER	 0.1021843	 0.0743140	 0.0741861	
10000	16	DITHER____	SAWTOTH	 0.1600763	 0.1546410	 0.0503018	
10000	16	DITHER____	_RANDOM	 0.2163991	 0.2123471	! 0.1209032	
10000	16	DITHER____	PLATEAU	 0.0392179	 0.0297922	 0.0382050	
10000	16	DITHER____	SHUFFLE	 0.2894542	 0.1888439	 0.0941692	
10000	16	REVERSE_BA	SPIRAL	 0.2832038	 0.2576247	 0.0682380	
10000	16	REVERSE_BA	STAGGER	 0.1100729	 0.0782016	 0.0781445	
10000	16	REVERSE_BA	SAWTOTH	 0.1093238	 0.1067039	 0.1172025	
10000	16	REVERSE_BA	_RANDOM	 0.2006566	 0.1889250	! 0.1178005	
10000	16	REVERSE_BA	PLATEAU	 0.0044560	 0.0055166	 0.0056090	
10000	16	REVERSE_BA	SHUFFLE	 0.2381299	 0.1876250	 0.1203841	
10000	16	REVERSE_FR	SPIRAL	 0.3101856	 0.2492805	 0.0680790	
10000	16	REVERSE_FR	STAGGER	 0.1040411	 0.0815007	 0.0758341	
10000	16	REVERSE_FR	SAWTOTH	 0.1187468	 0.0803118	 0.0952155	
10000	16	REVERSE_FR	_RANDOM	 0.2009692	 0.2142612	! 0.1240909	
10000	16	REVERSE_FR	PLATEAU	 0.0307303	 0.0043294	 0.0046336	
10000	16	REVERSE_FR	SHUFFLE	 0.2616945	 0.1592271	 0.1203739	
10000	256	IDENT_____	SPIRAL	 0.1285484	 0.0758829	 0.0754698	
10000	256	IDENT_____	STAGGER	 0.5339521	 0.5161693	 0.1197736	
10000	256	IDENT_____	SAWTOTH	 0.1410044	 0.0922787	 0.0924539	
10000	256	IDENT_____	_RANDOM	 0.4682154	 0.4123040	! 0.0868989	
10000	256	IDENT_____	PLATEAU	 0.0044422	 0.0055387	 0.0055946	
10000	256	IDENT_____	SHUFFLE	 0.1181194	 0.0563427	! 0.0731593	
10000	256	REVERSE___	SPIRAL	 0.2008641	 0.2366856	 0.0930195	
10000	256	REVERSE___	STAGGER	 0.5377762	 0.5269204	 0.1185776	
10000	256	REVERSE___	SAWTOTH	 0.1326397	 0.1032029	 0.0925604	
10000	256	REVERSE___	_RANDOM	 0.4603951	 0.4286961	 0.0515344	
10000	256	REVERSE___	PLATEAU	 0.0133205	 0.0048234	 0.0049694	
10000	256	REVERSE___	SHUFFLE	 0.0990058	 0.0646725	 0.0678863	
10000	256	DITHER____	SPIRAL	 0.2415615	 0.2036639	 0.0702674	
10000	256	DITHER____	STAGGER	 0.5449219	 0.5537507	 0.0975723	
10000	256	DITHER____	SAWTOTH	 0.3083125	 0.3487204	 0.0726185	
10000	256	DITHER____	_RANDOM	 0.4778117	 0.4423754	 0.0721075	
10000	256	DITHER____	PLATEAU	 0.0420914	 0.0312625	 0.0412131	
10000	256	DITHER____	SHUFFLE	 0.1916688	 0.0873968	 0.1029092	
10000	256	REVERSE_BA	SPIRAL	 0.1282815	 0.0830587	 0.0839364	
10000	256	REVERSE_BA	STAGGER	 0.5467044	 0.5290689	 0.1052552	
10000	256	REVERSE_BA	SAWTOTH	 0.1450924	 0.1028792	 0.1032512	
10000	256	REVERSE_BA	_RANDOM	 0.4604135	 0.4514540	 0.0513141	
10000	256	REVERSE_BA	PLATEAU	 0.0044556	 0.0055162	 0.0055658	
10000	256	REVERSE_BA	SHUFFLE	 0.1119178	 0.0766752	! 0.0790376	
10000	256	REVERSE_FR	SPIRAL	 0.1334760	 0.1736668	 0.0895457	
10000	256	REVERSE_FR	STAGGER	 0.5434602	 0.5088527	 0.1014722	
10000	256	REVERSE_FR	SAWTOTH	 0.1301546	 0.0977680	 0.1024551	
10000	256	REVERSE_FR	_RANDOM	 0.4676860	 0.4128744	 0.0516197	
10000	256	REVERSE_FR	PLATEAU	 0.0287669	 0.0048113	 0.0049329	
10000	256	REVERSE_FR	SHUFFLE	 0.1118064	 0.0564006	 0.0621054	
100000	1	IDENT_____	SPIRAL	 3.4638628	 2.2086572	 1.4368742	
100000	1	IDENT_____	STAGGER	 0.3139941	 0.2588444	 0.2644337	
100000	1	IDENT_____	SAWTOTH	 0.0688039	 0.0598026	 0.0600186	
100000	1	IDENT_____	_RANDOM	 0.0687708	 0.0598134	 0.0599788	
100000	1	IDENT_____	PLATEAU	 0.0656047	 0.0656259	 0.0647162	
100000	1	IDENT_____	SHUFFLE	 0.0655929	 0.0655846	 0.0638712	
100000	1	REVERSE___	SPIRAL	 2.9562799	 2.9146811	 1.4353800	
100000	1	REVERSE___	STAGGER	 0.3790288	 0.3291816	 0.3216010	
100000	1	REVERSE___	SAWTOTH	 0.0687951	 0.0598270	 0.0600032	
100000	1	REVERSE___	_RANDOM	 0.0687687	 0.0600514	 0.0600089	
100000	1	REVERSE___	PLATEAU	 0.1326005	 0.0543447	 0.0526185	
100000	1	REVERSE___	SHUFFLE	 0.1279876	 0.1250255	 0.1225188	
100000	1	DITHER____	SPIRAL	 3.4015710	 3.0952681	 1.2947179	
100000	1	DITHER____	STAGGER	 3.7666461	 4.2074484	 1.7002346	
100000	1	DITHER____	SAWTOTH	 0.3350737	 0.2717269	 0.3146116	
100000	1	DITHER____	_RANDOM	 0.3354363	 0.2758497	 0.3132346	
100000	1	DITHER____	PLATEAU	 0.3775266	 0.2812442	 0.3139154	
100000	1	DITHER____	SHUFFLE	 0.7094674	 0.6042625	 1.3559854	
100000	1	REVERSE_BA	SPIRAL	 3.4567296	 2.6030838	 1.3566190	
100000	1	REVERSE_BA	STAGGER	 0.3201634	 0.2863841	 0.2863682	
100000	1	REVERSE_BA	SAWTOTH	 0.0687953	 0.0597449	 0.0599762	
100000	1	REVERSE_BA	_RANDOM	 0.0687728	 0.0597547	 0.0599435	
100000	1	REVERSE_BA	PLATEAU	 0.0660161	 0.0656135	 0.0644263	
100000	1	REVERSE_BA	SHUFFLE	 0.3545921	 0.2964304	 0.2950363	
100000	1	REVERSE_FR	SPIRAL	 2.9904031	 2.3129707	 1.3589956	
100000	1	REVERSE_FR	STAGGER	 0.3251078	 0.2760923	 0.2753909	
100000	1	REVERSE_FR	SAWTOTH	 0.0689610	 0.0598502	 0.0600474	
100000	1	REVERSE_FR	_RANDOM	 0.0687573	 0.0597544	 0.0600042	
100000	1	REVERSE_FR	PLATEAU	 0.3016992	 0.0543801	 0.0526687	
100000	1	REVERSE_FR	SHUFFLE	 0.0981260	 0.0953028	 0.0952929	
100000	16	IDENT_____	SPIRAL	 3.2163479	 2.5000308	 0.9210960	
100000	16	IDENT_____	STAGGER	 1.0763547	 0.7787301	 0.7829082	
100000	16	IDENT_____	SAWTOTH	 1.4959567	 0.7750003	 0.7708222	
100000	16	IDENT_____	_RANDOM	 2.0224767	 1.9208503	! 1.0247499	
100000	16	IDENT_____	PLATEAU	 0.0655479	 0.0655573	 0.0642503	
100000	16	IDENT_____	SHUFFLE	 2.8007063	 1.5624837	 1.3547471	
100000	16	REVERSE___	SPIRAL	 2.8034663	 3.5041793	 0.9481685	
100000	16	REVERSE___	STAGGER	 1.0868098	 0.8388658	 0.8245501	
100000	16	REVERSE___	SAWTOTH	 1.5179192	 0.5001300	 0.4879996	
100000	16	REVERSE___	_RANDOM	 1.9725769	 1.8582531	! 1.1057006	
100000	16	REVERSE___	PLATEAU	 0.1422246	 0.0544356	 0.0524223	
100000	16	REVERSE___	SHUFFLE	 2.5276035	 1.8423222	 1.3497996	
100000	16	DITHER____	SPIRAL	 3.5012951	 2.9828319	 1.0068485	
100000	16	DITHER____	STAGGER	 1.0797931	 0.7809355	 0.7861868	
100000	16	DITHER____	SAWTOTH	 1.7120433	 1.6309513	 0.5254677	
100000	16	DITHER____	_RANDOM	 2.1094014	 2.0857400	! 1.0812686	
100000	16	DITHER____	PLATEAU	 0.4511809	 0.3492902	 0.3690475	
100000	16	DITHER____	SHUFFLE	 3.0813748	 2.2903813	 1.2804402	
100000	16	REVERSE_BA	SPIRAL	 3.3802934	 2.6927194	 0.9142341	
100000	16	REVERSE_BA	STAGGER	 1.1030313	 0.7594177	 0.7557335	
100000	16	REVERSE_BA	SAWTOTH	 1.0138155	 1.0480516	 0.5704223	
100000	16	REVERSE_BA	_RANDOM	 2.0185686	 1.8577851	! 1.0827427	
100000	16	REVERSE_BA	PLATEAU	 0.0653542	 0.0652874	 0.0640931	
100000	16	REVERSE_BA	SHUFFLE	 2.6326959	 1.9065386	 1.2830500	
100000	16	REVERSE_FR	SPIRAL	 3.2764008	 2.2231893	 0.9399951	
100000	16	REVERSE_FR	STAGGER	 1.1710201	 0.7369977	 0.7321656	
100000	16	REVERSE_FR	SAWTOTH	 1.0608725	 1.5087938	 0.7611846	
100000	16	REVERSE_FR	_RANDOM	 2.0716248	 1.9402022	! 1.0673874	
100000	16	REVERSE_FR	PLATEAU	 0.3016367	 0.0542991	 0.0525890	
100000	16	REVERSE_FR	SHUFFLE	 2.6780477	 1.3412645	 1.2666984	
100000	256	IDENT_____	SPIRAL	 2.6186538	 1.2399094	 1.2435653	
100000	256	IDENT_____	STAGGER	 6.0050631	 1.4182174	 1.4166047	
100000	256	IDENT_____	SAWTOTH	 2.2622735	 1.4669520	 1.4543747	
100000	256	IDENT_____	_RANDOM	 4.2819409	 4.1011400	 0.6414568	
100000	256	IDENT_____	PLATEAU	 0.0651018	 0.0648468	 0.0645023	
100000	256	IDENT_____	SHUFFLE	 2.2549394	 0.7162140	! 0.9252752	
100000	256	REVERSE___	SPIRAL	 1.9700198	 2.2900850	 1.3014414	
100000	256	REVERSE___	STAGGER	 6.6965119	 1.4486860	 1.3812165	
100000	256	REVERSE___	SAWTOTH	 2.1153752	 1.5269764	 1.4833860	
100000	256	REVERSE___	_RANDOM	 4.3251405	 3.7725565	 0.5688889	
100000	256	REVERSE___	PLATEAU	 0.1421096	 0.0543622	 0.0555197	
100000	256	REVERSE___	SHUFFLE	 1.9357200	 0.9816828	 1.0033647	
100000	256	DITHER____	SPIRAL	 2.9577992	 2.6102229	 1.0598062	
100000	256	DITHER____	STAGGER	 6.0262199	 1.5525101	 1.5528871	
100000	256	DITHER____	SAWTOTH	 2.6182751	 3.1302898	 0.7173445	
100000	256	DITHER____	_RANDOM	 4.3372687	 3.7688631	 0.7457037	
100000	256	DITHER____	PLATEAU	 0.4080840	 0.3655707	 0.3606035	
100000	256	DITHER____	SHUFFLE	 2.5914443	 1.1868176	 1.3536023	
100000	256	REVERSE_BA	SPIRAL	 2.5574007	 1.3591445	 1.3554250	
100000	256	REVERSE_BA	STAGGER	 5.6707982	 1.4684955	 1.4707443	
100000	256	REVERSE_BA	SAWTOTH	 2.2813790	 1.4522303	 1.4642291	
100000	256	REVERSE_BA	_RANDOM	 4.3521934	 3.8031497	 0.5696956	
100000	256	REVERSE_BA	PLATEAU	 0.0656417	 0.0656772	 0.0641825	
100000	256	REVERSE_BA	SHUFFLE	 2.0300623	 0.9324283	 0.9965941	
100000	256	REVERSE_FR	SPIRAL	 2.5305398	 1.9946847	 0.9116766	
100000	256	REVERSE_FR	STAGGER	 6.7170943	 1.4410830	 1.3772872	
100000	256	REVERSE_FR	SAWTOTH	 2.5434919	 1.5144089	 1.4710191	
100000	256	REVERSE_FR	_RANDOM	 4.4254519	 3.8154716	 0.5693403	
100000	256	REVERSE_FR	PLATEAU	 0.2832540	 0.0544654	 0.0552260	
100000	256	REVERSE_FR	SHUFFLE	 2.1778481	 0.8855024	 1.0165685	
1000000	1	IDENT_____	SPIRAL	 37.3819845	 25.3063564	 27.8332190	
1000000	1	IDENT_____	STAGGER	 3.3049983	 2.6171318	 2.6506767	
1000000	1	IDENT_____	SAWTOTH	 0.6718269	 0.7147300	 0.7195092	
1000000	1	IDENT_____	_RANDOM	 0.6648278	 0.7178218	 0.7223887	
1000000	1	IDENT_____	PLATEAU	 0.7893483	 0.7963560	 0.7781452	
1000000	1	IDENT_____	SHUFFLE	 0.8048973	 0.8141665	 0.8037795	
1000000	1	REVERSE___	SPIRAL	 38.6706330	 34.7885456	 28.1625435	
1000000	1	REVERSE___	STAGGER	 5.0410278	 3.3401902	 3.2723102	
1000000	1	REVERSE___	SAWTOTH	 0.7104972	 0.7495411	 0.7591083	
1000000	1	REVERSE___	_RANDOM	 0.6984651	 0.7539626	 0.7542462	
1000000	1	REVERSE___	PLATEAU	 1.5704904	 0.7115078	 0.6974287	
1000000	1	REVERSE___	SHUFFLE	 1.4187951	 1.5677031	 1.4659809	
1000000	1	DITHER____	SPIRAL	 37.2360649	 28.4602147	 20.3792434	
1000000	1	DITHER____	STAGGER	 37.5550891	 47.8748355	 24.4546387	
1000000	1	DITHER____	SAWTOTH	 3.2752716	 3.0269364	 3.2247495	
1000000	1	DITHER____	_RANDOM	 3.2935641	 3.0361264	 3.2392216	
1000000	1	DITHER____	PLATEAU	 3.6530869	 3.0284990	 3.2577409	
1000000	1	DITHER____	SHUFFLE	 8.2656392	 6.9359858	 25.2878048	
1000000	1	REVERSE_BA	SPIRAL	 38.6779666	 27.4631991	 27.5378677	
1000000	1	REVERSE_BA	STAGGER	 3.4612382	 2.9642470	 2.9323605	
1000000	1	REVERSE_BA	SAWTOTH	 0.6878085	 0.7140368	 0.7473708	
1000000	1	REVERSE_BA	_RANDOM	 0.6430949	 0.7058169	 0.7105984	
1000000	1	REVERSE_BA	PLATEAU	 0.7577851	 0.7776012	 0.7411402	
1000000	1	REVERSE_BA	SHUFFLE	 3.9088339	 3.1058313	 3.0110278	
1000000	1	REVERSE_FR	SPIRAL	 35.5669936	 29.2769154	 27.7388455	
1000000	1	REVERSE_FR	STAGGER	 3.7398811	 2.9497754	 2.8993500	
1000000	1	REVERSE_FR	SAWTOTH	 0.6463288	 0.6958971	 0.7001501	
1000000	1	REVERSE_FR	_RANDOM	 0.6756230	 0.7289217	 0.7307571	
1000000	1	REVERSE_FR	PLATEAU	 3.1017316	 0.7239938	 0.6638736	
1000000	1	REVERSE_FR	SHUFFLE	 1.0637687	 1.0899320	 1.0544223	
1000000	16	IDENT_____	SPIRAL	 37.0119347	 24.4495058	 12.3645729	
1000000	16	IDENT_____	STAGGER	 12.4910484	 6.9045350	 7.0053592	
1000000	16	IDENT_____	SAWTOTH	 11.6307941	 13.0772299	 5.4316109	
1000000	16	IDENT_____	_RANDOM	 20.1989536	 18.9848594	! 10.7470676	
1000000	16	IDENT_____	PLATEAU	 0.7909373	 0.7840430	 0.7627770	
1000000	16	IDENT_____	SHUFFLE	 30.5955422	 14.0591587	 24.7716106	
1000000	16	REVERSE___	SPIRAL	 34.3733940	 30.2175635	 12.3583777	
1000000	16	REVERSE___	STAGGER	 13.5748944	 7.6090531	 7.7986623	
1000000	16	REVERSE___	SAWTOTH	 11.7408747	 13.4099537	 5.4766022	
