
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 60
lreps: 9 with reps: 3

Warmup length: 10001 reps: 60
lreps: 9 with reps: 3

total: 600120
  End warm up (21060 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (min time + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of       2.00 % , convergence at       4.00 sigma with max test duration =    3000.00 ms.


COLUMNS:Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11I	DPQ_18_11P	RADIX	MARLIN	[DPQ_11 % DPQ_18_11_21]

lreps: 9 with reps: 15695

50 16  STAGGER IDENT_____	   0.000014	   0.000347	   0.000315	   0.000314	   0.000328	   0.001638	   0.000470	    110.16 % .!!.
50 16  SAWTOTH IDENT_____	   0.000015	   0.000335	   0.000333	   0.000310	   0.000249	   0.000363	   0.000465	    100.69 % ..
50 16  _RANDOM IDENT_____	   0.000014	   0.000361	   0.000392	   0.000350	   0.000327	   0.001763	   0.000507	     92.21 % 
50 16  PLATEAU IDENT_____	   0.000014	   0.000092	   0.000110	   0.000075	   0.000077	   0.000105	   0.000134	     83.98 % 
50 16  SHUFFLE IDENT_____	   0.000015	!  0.000170	$   0.000127	   0.000152	   0.000101	!  0.000238	!  0.000200	    133.75 % .!!!.
50 16  STAGGER REVERSE___	   0.000014	   0.000323	   0.000477	   0.000325	   0.000423	   0.002003	   0.000596	     67.68 % 
50 16  SAWTOTH REVERSE___	   0.000014	   0.000272	   0.000479	   0.000285	   0.000291	   0.000412	   0.000637	     56.73 % 
50 16  _RANDOM REVERSE___	   0.000014	!  0.000397	   0.000399	   0.000329	   0.000343	   0.001772	   0.000523	     99.48 % 
50 16  PLATEAU REVERSE___	   0.000014	   0.000230	   0.000363	   0.000105	   0.000207	   0.000122	   0.000326	     63.47 % 
50 16  SHUFFLE REVERSE___	   0.000014	   0.000249	   0.000630	   0.000241	   0.000368	!  0.000264	   0.000653	     39.43 % 
50 16  STAGGER REVERSE_FR	   0.000014	   0.000347	   0.000361	   0.000378	   0.000365	   0.001717	   0.000549	     96.16 % 
50 16  SAWTOTH REVERSE_FR	   0.000014	   0.000387	   0.000385	   0.000341	   0.000292	   0.000492	   0.000596	    100.41 % ..
50 16  _RANDOM REVERSE_FR	   0.000014	   0.000345	   0.000394	   0.000304	   0.000316	   0.001767	   0.000532	     87.38 % 
50 16  PLATEAU REVERSE_FR	   0.000014	   0.000153	   0.000212	   0.000231	   0.000170	   0.000122	   0.000324	     72.17 % 
50 16  SHUFFLE REVERSE_FR	   0.000014	   0.000222	   0.000257	   0.000262	   0.000216	   0.000333	   0.000430	     86.35 % 
50 16  STAGGER REVERSE_BA	   0.000014	   0.000313	   0.000360	   0.000281	   0.000344	   0.001699	   0.000524	     87.01 % 
50 16  SAWTOTH REVERSE_BA	   0.000014	   0.000301	   0.000346	   0.000336	   0.000274	   0.000500	   0.000506	     86.91 % 
50 16  _RANDOM REVERSE_BA	   0.000014	   0.000342	   0.000401	   0.000332	   0.000334	   0.001768	   0.000504	     85.22 % 
