
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 60
lreps: 9 with reps: 3

Warmup length: 10001 reps: 60
lreps: 9 with reps: 3

total: 600120
  End warm up (21060 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (min time + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of       2.00 % , convergence at       4.00 sigma with max test duration =   10000.00 ms.


COLUMNS:Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11I	DPQ_18_11P	RADIX	MARLIN	[DPQ_11 % DPQ_18_11_21]

lreps: 1 with reps: 90

50000 16  PLATEAU REVERSE_BA	   0.011635	   0.020614	   0.029385	   0.022866	   0.029383	   0.019195	   0.270712	     70.15 % 
50000 16  SHUFFLE REVERSE_BA	   0.011633	   2.095450	   2.092013	   1.768596	   2.141322	   1.777022	   3.000870	    100.16 % ..
50000 16  STAGGER SORT______	   0.011652	   0.020598	   0.029373	   0.022874	   0.029369	   0.019191	   0.248139	     70.13 % 
50000 16  SAWTOTH SORT______	   0.011595	   0.020815	   0.028576	   0.022471	   0.028542	   0.018935	   0.271931	     72.84 % 
50000 16  _RANDOM SORT______	   0.011601	   0.020819	   0.028511	   0.022485	   0.028512	   0.018904	   0.272966	     73.02 % 
50000 16  PLATEAU SORT______	   0.011669	   0.020582	   0.029346	   0.022859	   0.029363	   0.019160	   0.271195	     70.14 % 
50000 16  SHUFFLE SORT______	   0.011665	   0.020581	   0.029364	   0.022852	   0.029364	   0.019182	   0.247999	     70.09 % 
50000 16  STAGGER DITHER____	   0.011654	   1.300012	   0.426469	   0.523377	   0.523447	   1.550646	   1.509754	    304.83 % .!!!!!.
50000 16  SAWTOTH DITHER____	   0.011653	   1.382077	   1.555404	   1.455331	   1.597216	   1.056081	   4.078872	     88.86 % 
50000 16  _RANDOM DITHER____	   0.011665	   2.022046	   2.050344	   2.056156	   2.057500	   1.057341	   6.220062	     98.62 % 
50000 16  PLATEAU DITHER____	   0.011670	   0.179620	   0.129004	   0.134738	   0.149986	   1.056375	   3.095697	    139.24 % .!!!.
50000 16  SHUFFLE DITHER____	   0.011651	   2.482907	$   2.113972	   1.760758	   2.141656	   1.990577	   2.906848	    117.45 % .!!.
50000 64  STAGGER IDENT_____	   0.011651	   1.850246	   5.250589	   4.708904	   5.282553	   1.427603	   1.914409	     35.24 % 
50000 64  SAWTOTH IDENT_____	   0.011649	   1.518394	   1.897094	   1.763353	   1.944850	   1.057575	   2.787592	     80.04 % 
50000 64  _RANDOM IDENT_____	   0.011630	   2.865386	   2.941095	   2.840612	   2.891608	   1.057743	   7.124831	     97.43 % 
50000 64  PLATEAU IDENT_____	   0.011647	   0.020626	   0.029350	   0.022822	   0.029380	   0.019186	   0.270270	     70.27 % 
50000 64  SHUFFLE IDENT_____	   0.011649	   1.883846	   0.996796	   0.623684	   1.042086	   1.889495	   2.115326	    188.99 % .!!!!.
50000 64  STAGGER REVERSE___	   0.011641	   1.934084	   5.363927	   4.773173	   5.385982	   1.444895	   2.761573	     36.06 % 
