
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)


Length Sub-size  Builder Tweaker	BASELINE	DPQ_18_11	DPQ_18_11P	DPQ_18_11_21	DPQ_11	RADIX	MARLIN	[DPQ_18_11 % DPQ_18_11P]

lreps: 801 with reps: 17

50 64  PLATEAU DITHER____	   0.000012	   0.000678	   0.000121	   0.000145	   0.000206	   0.000666	   0.000242	    558.98 % .!!!!!.
50 64  SHUFFLE DITHER____	   0.000012	   0.000678	   0.000124	   0.000140	   0.000204	   0.000668	   0.000262	    546.44 % .!!!!!.
lreps: 401 with reps: 14

100 1  STAGGER IDENT_____	   0.000016	   0.000689	   0.000544	   0.000673	   0.000804	   0.000413	   0.000440	    126.64 % .!!!.
100 1  SAWTOTH IDENT_____	   0.000015	   0.000091	   0.000138	   0.000104	   0.000145	   0.000124	   0.000279	     66.39 % 
100 1  _RANDOM IDENT_____	   0.000015	   0.000091	   0.000138	   0.000103	   0.000144	   0.000124	   0.000279	     66.13 % 
100 1  PLATEAU IDENT_____	   0.000015	   0.000084	   0.000138	   0.000094	   0.000146	   0.000123	   0.000271	     60.42 % 
100 1  SHUFFLE IDENT_____	   0.000014	   0.000626	   0.000137	   0.000221	   0.000195	   0.000123	   0.000249	    458.02 % .!!!!!.
100 1  STAGGER REVERSE___	   0.000015	   0.001079	   0.001383	   0.001134	   0.000701	   0.000483	   0.001126	     78.01 % 
100 1  SAWTOTH REVERSE___	   0.000015	   0.000091	   0.000137	   0.000104	   0.000145	   0.000122	   0.000279	     66.44 % 
100 1  _RANDOM REVERSE___	   0.000014	   0.000091	   0.000137	   0.000103	   0.000144	   0.000124	   0.000279	     66.77 % 
100 1  PLATEAU REVERSE___	   0.000015	   0.000094	   0.000195	   0.000109	   0.000142	   0.000124	   0.000292	     48.38 % 
100 1  SHUFFLE REVERSE___	   0.000015	   0.000905	   0.001711	   0.000425	   0.000424	   0.000185	   0.000923	     52.90 % 
100 1  STAGGER REVERSE_FR	   0.000015	   0.000974	   0.001031	   0.000977	   0.000806	   0.000450	   0.000771	     94.54 % 
100 1  SAWTOTH REVERSE_FR	   0.000015	   0.000091	   0.000137	   0.000103	   0.000145	   0.000122	   0.000282	     66.75 % 
100 1  _RANDOM REVERSE_FR	   0.000015	   0.000091	   0.000136	   0.000103	   0.000145	   0.000123	   0.000278	     66.67 % 
100 1  PLATEAU REVERSE_FR	   0.000015	   0.000085	   0.000167	   0.000095	   0.000145	   0.000123	   0.000289	     51.16 % 
100 1  SHUFFLE REVERSE_FR	   0.000015	   0.000599	   0.000609	   0.000645	   0.000469	   0.000408	   0.000579	     98.38 % 
100 1  STAGGER REVERSE_BA	   0.000015	   0.000824	   0.000884	   0.000797	   0.000769	   0.000449	   0.000774	     93.23 % 
100 1  SAWTOTH REVERSE_BA	   0.000015	   0.000091	   0.000137	   0.000103	   0.000146	   0.000123	   0.000280	     66.48 % 
100 1  _RANDOM REVERSE_BA	   0.000015	   0.000092	   0.000137	   0.000103	   0.000145	   0.000124	   0.000280	     66.96 % 
100 1  PLATEAU REVERSE_BA	   0.000014	   0.000084	   0.000136	   0.000093	   0.000145	   0.000123	   0.000271	     61.60 % 
100 1  SHUFFLE REVERSE_BA	   0.000015	   0.000883	   0.000510	   0.000467	   0.000284	   0.000433	   0.000584	    173.17 % .!!!!.
100 1  STAGGER SORT______	   0.000015	   0.000614	   0.000137	   0.000224	   0.000197	   0.000124	   0.000249	    448.62 % .!!!!!.
100 1  SAWTOTH SORT______	   0.000015	   0.000091	   0.000137	   0.000103	   0.000145	   0.000122	   0.000279	     66.65 % 
100 1  _RANDOM SORT______	   0.000015	   0.000091	   0.000136	   0.000104	   0.000145	   0.000122	   0.000279	     66.65 % 
100 1  PLATEAU SORT______	   0.000015	   0.000083	   0.000137	   0.000095	   0.000145	   0.000122	   0.000271	     60.21 % 
100 1  SHUFFLE SORT______	   0.000015	   0.000625	   0.000138	   0.000221	   0.000194	   0.000123	   0.000248	    451.94 % .!!!!!.
100 1  STAGGER DITHER____	   0.000015	   0.000727	   0.000555	   0.000713	   0.000789	   0.003802	   0.000650	    131.05 % .!!!.
100 1  SAWTOTH DITHER____	   0.000015	   0.000481	   0.000982	   0.000443	   0.000346	   0.003614	   0.001077	     49.02 % 
100 1  _RANDOM DITHER____	   0.000015	   0.000480	   0.000989	   0.000442	   0.000347	   0.003612	   0.001076	     48.54 % 
100 1  PLATEAU DITHER____	   0.000015	   0.000515	   0.000987	   0.000444	   0.000357	   0.003620	   0.001083	     52.22 % 
100 1  SHUFFLE DITHER____	   0.000015	   0.000740	   0.000191	   0.000449	   0.000280	   0.004011	   0.000624	    387.27 % .!!!!!.
