
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of 2%.


Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11P	RADIX	[DPQ_11 % DPQ_18_11_21]

lreps: 801 with reps: 17

50 16  SAWTOTH REVERSE_BA	   0.000012	   0.000288	   0.000358	   0.000257	   0.000569	     80.42 % 
50 16  _RANDOM REVERSE_BA	   0.000012	   0.000383	   0.000453	   0.000345	   0.001908	     84.37 % 
50 16  PLATEAU REVERSE_BA	   0.000012	   0.000103	   0.000107	   0.000068	   0.000100	     96.48 % 
50 16  SHUFFLE REVERSE_BA	   0.000012	   0.000265	   0.000292	   0.000198	   0.000546	     90.86 % 
50 16  STAGGER SORT______	   0.000012	   0.000111	   0.000108	   0.000068	   0.000101	    103.02 % ..
50 16  SAWTOTH SORT______	   0.000012	   0.000111	   0.000107	   0.000068	   0.000100	    103.52 % ..
50 16  _RANDOM SORT______	   0.000012	   0.000143	   0.000107	   0.000068	   0.000101	    133.20 % .!!!.
50 16  PLATEAU SORT______	   0.000011	   0.000103	   0.000108	   0.000068	   0.000100	     96.04 % 
50 16  SHUFFLE SORT______	   0.000012	   0.000111	   0.000108	   0.000068	   0.000101	    103.01 % ..
50 16  STAGGER DITHER____	   0.000012	   0.000336	   0.000352	   0.000320	   0.001666	     95.36 % 
50 16  SAWTOTH DITHER____	   0.000012	   0.000349	   0.000364	   0.000260	   0.000768	     95.95 % 
50 16  _RANDOM DITHER____	   0.000012	   0.000421	   0.000437	   0.000330	   0.001861	     96.50 % 
50 16  PLATEAU DITHER____	   0.000012	   0.000252	   0.000250	   0.000204	   0.000712	    100.82 % ..
50 16  SHUFFLE DITHER____	   0.000011	   0.000247	   0.000160	   0.000143	   0.000722	    154.60 % .!!!.
50 64  STAGGER IDENT_____	   0.000012	   0.000296	   0.000401	   0.000336	   0.001762	     73.65 % 
50 64  SAWTOTH IDENT_____	   0.000011	   0.000112	   0.000107	   0.000068	   0.000100	    104.22 % ..
50 64  _RANDOM IDENT_____	   0.000012	   0.000390	   0.000457	   0.000343	   0.001898	     85.36 % 
50 64  PLATEAU IDENT_____	   0.000011	   0.000111	   0.000107	   0.000068	   0.000101	    103.78 % ..
50 64  SHUFFLE IDENT_____	   0.000011	   0.000190	   0.000124	   0.000094	!  0.000331	    153.45 % .!!!.
50 64  STAGGER REVERSE___	   0.000012	   0.000318	   0.000425	   0.000321	   0.001846	     74.71 % 
50 64  SAWTOTH REVERSE___	   0.000012	   0.000212	   0.000627	   0.000383	   0.000134	     33.82 % 
50 64  _RANDOM REVERSE___	   0.000012	   0.000462	   0.000449	   0.000367	   0.001886	    102.98 % ..
50 64  PLATEAU REVERSE___	   0.000012	   0.000212	   0.000627	   0.000382	   0.000135	     33.82 % 
50 64  SHUFFLE REVERSE___	   0.000011	   0.000247	   0.000698	   0.000390	!  0.000363	     35.40 % 
50 64  STAGGER REVERSE_FR	   0.000012	   0.000281	   0.000414	   0.000347	   0.001783	     67.90 % 
50 64  SAWTOTH REVERSE_FR	   0.000012	   0.000195	   0.000251	   0.000199	   0.000266	     77.84 % 
50 64  _RANDOM REVERSE_FR	   0.000012	   0.000411	   0.000457	   0.000343	   0.001916	     90.04 % 
50 64  PLATEAU REVERSE_FR	   0.000012	   0.000196	   0.000251	   0.000198	   0.000266	     78.19 % 
50 64  SHUFFLE REVERSE_FR	   0.000012	   0.000214	   0.000286	   0.000215	   0.000394	     74.70 % 
50 64  STAGGER REVERSE_BA	   0.000012	   0.000308	   0.000403	   0.000349	   0.001780	     76.52 % 
50 64  SAWTOTH REVERSE_BA	   0.000012	   0.000157	   0.000266	   0.000160	   0.000285	     59.02 % 
50 64  _RANDOM REVERSE_BA	   0.000012	   0.000403	   0.000469	   0.000353	   0.001943	     86.08 % 
50 64  PLATEAU REVERSE_BA	   0.000012	   0.000156	   0.000266	   0.000162	   0.000284	     58.64 % 
50 64  SHUFFLE REVERSE_BA	   0.000012	   0.000223	   0.000281	   0.000179	   0.000409	     79.34 % 
50 64  STAGGER SORT______	   0.000012	   0.000118	   0.000107	   0.000068	   0.000101	    110.68 % .!!.
50 64  SAWTOTH SORT______	   0.000012	   0.000111	   0.000107	   0.000068	   0.000101	    104.06 % ..
50 64  _RANDOM SORT______	   0.000011	   0.000114	   0.000108	   0.000068	   0.000101	    105.73 % .!.
50 64  PLATEAU SORT______	   0.000011	   0.000112	   0.000107	   0.000068	   0.000101	    104.71 % ..
50 64  SHUFFLE SORT______	   0.000012	   0.000112	   0.000107	   0.000068	   0.000101	    103.91 % ..
50 64  STAGGER DITHER____	   0.000011	   0.000296	   0.000401	   0.000336	   0.001762	     73.89 % 
50 64  SAWTOTH DITHER____	   0.000012	   0.000216	   0.000141	   0.000116	   0.000687	    152.93 % .!!!.
50 64  _RANDOM DITHER____	   0.000012	   0.000422	   0.000454	   0.000339	   0.001894	     92.93 % 
50 64  PLATEAU DITHER____	   0.000011	   0.000215	   0.000141	   0.000115	   0.000687	    152.49 % .!!!.
50 64  SHUFFLE DITHER____	   0.000012	   0.000214	   0.000137	   0.000116	   0.000700	    155.41 % .!!!.
lreps: 401 with reps: 14

100 1  STAGGER IDENT_____	   0.000017	   0.000808	   0.000675	   0.000531	   0.000437	    119.69 % .!!.
100 1  SAWTOTH IDENT_____	   0.000015	   0.000143	   0.000137	   0.000131	   0.000121	    104.56 % ..
100 1  _RANDOM IDENT_____	   0.000015	   0.000144	   0.000138	   0.000130	   0.000121	    104.17 % ..
100 1  PLATEAU IDENT_____	   0.000015	   0.000143	   0.000152	   0.000130	   0.000120	     94.27 % 
100 1  SHUFFLE IDENT_____	   0.000014	   0.000195	   0.000229	   0.000130	   0.000120	     84.92 % 
100 1  STAGGER REVERSE___	   0.000015	   0.000720	   0.001094	   0.001163	   0.000513	     65.80 % 
100 1  SAWTOTH REVERSE___	   0.000015	   0.000143	   0.000138	   0.000130	   0.000122	    103.59 % ..
100 1  _RANDOM REVERSE___	   0.000015	   0.000143	   0.000138	   0.000131	   0.000120	    103.82 % ..
100 1  PLATEAU REVERSE___	   0.000015	   0.000145	   0.000142	   0.000174	   0.000121	    102.41 % ..
100 1  SHUFFLE REVERSE___	   0.000015	   0.000428	   0.000448	   0.001304	   0.000185	     95.58 % 
100 1  STAGGER REVERSE_FR	   0.000014	   0.000816	   0.000914	   0.000956	   0.000479	     89.29 % 
100 1  SAWTOTH REVERSE_FR	   0.000015	   0.000144	   0.000138	   0.000132	   0.000121	    104.60 % ..
100 1  _RANDOM REVERSE_FR	   0.000015	   0.000144	   0.000138	   0.000130	   0.000121	    104.38 % ..
100 1  PLATEAU REVERSE_FR	   0.000015	   0.000147	   0.000145	   0.000155	   0.000122	    101.18 % ..
100 1  SHUFFLE REVERSE_FR	   0.000015	   0.000489	   0.000672	   0.000559	   0.000441	     72.75 % 
100 1  STAGGER REVERSE_BA	   0.000015	   0.000775	   0.000841	   0.000760	   0.000471	     92.14 % 
100 1  SAWTOTH REVERSE_BA	   0.000014	   0.000143	   0.000138	   0.000130	   0.000121	    103.59 % ..
100 1  _RANDOM REVERSE_BA	   0.000015	   0.000145	   0.000139	   0.000130	   0.000121	    104.35 % ..
100 1  PLATEAU REVERSE_BA	   0.000014	   0.000144	   0.000153	   0.000130	   0.000120	     94.24 % 
100 1  SHUFFLE REVERSE_BA	   0.000014	   0.000287	   0.000472	   0.000419	   0.000463	     60.77 % 
100 1  STAGGER SORT______	   0.000015	   0.000196	   0.000230	   0.000130	   0.000121	     85.31 % 
100 1  SAWTOTH SORT______	   0.000014	   0.000144	   0.000139	   0.000130	   0.000121	    103.59 % ..
100 1  _RANDOM SORT______	   0.000015	   0.000143	   0.000138	   0.000130	   0.000121	    104.16 % ..
100 1  PLATEAU SORT______	   0.000015	   0.000144	   0.000160	   0.000131	   0.000120	     89.78 % 
100 1  SHUFFLE SORT______	   0.000014	   0.000195	   0.000229	   0.000131	   0.000120	     85.37 % 
100 1  STAGGER DITHER____	   0.000014	   0.000810	   0.000706	   0.000530	   0.003782	    114.76 % .!!.
100 1  SAWTOTH DITHER____	   0.000015	   0.000363	   0.000448	   0.000954	   0.003610	     80.95 % 
100 1  _RANDOM DITHER____	   0.000015	   0.000364	   0.000449	   0.000954	   0.003610	     80.98 % 
100 1  PLATEAU DITHER____	   0.000015	   0.000372	   0.000468	   0.000953	   0.003614	     79.45 % 
100 1  SHUFFLE DITHER____	   0.000015	   0.000278	   0.000468	   0.000178	   0.004035	     59.42 % 
100 4  STAGGER IDENT_____	   0.000014	   0.000758	   0.000880	   0.000840	   0.000955	     86.13 % 
100 4  SAWTOTH IDENT_____	   0.000015	   0.000332	   0.000473	   0.000958	   0.003604	     70.17 % 
100 4  _RANDOM IDENT_____	   0.000015	!  0.000542	   0.000500	   0.000969	   0.003692	    108.37 % .!.
100 4  PLATEAU IDENT_____	   0.000014	   0.000151	   0.000144	   0.000131	   0.000121	    104.94 % ..
100 4  SHUFFLE IDENT_____	   0.000015	   0.000948	   0.000660	   0.000685	   0.004692	    143.61 % .!!!.
100 4  STAGGER REVERSE___	   0.000014	   0.000737	   0.001122	   0.000899	   0.001045	     65.63 % 
100 4  SAWTOTH REVERSE___	   0.000014	   0.000273	   0.000452	   0.000787	   0.003725	     60.33 % 
100 4  _RANDOM REVERSE___	   0.000015	   0.000497	   0.000538	   0.001005	   0.003686	     92.47 % 
100 4  PLATEAU REVERSE___	   0.000015	   0.000159	   0.000156	   0.000206	   0.000123	    101.73 % ..
100 4  SHUFFLE REVERSE___	   0.000014	!  0.001006	   0.000781	   0.001273	   0.005115	    128.88 % .!!!.
100 4  STAGGER REVERSE_FR	   0.000015	   0.000718	   0.000816	   0.000886	   0.000998	     88.04 % 
100 4  SAWTOTH REVERSE_FR	   0.000014	   0.000324	   0.000431	   0.000931	   0.003707	     75.13 % 
100 4  _RANDOM REVERSE_FR	   0.000014	!  0.000460	   0.000536	   0.000977	   0.003683	     85.77 % 
100 4  PLATEAU REVERSE_FR	   0.000015	   0.000159	   0.000161	   0.000169	   0.000125	     98.75 % 
100 4  SHUFFLE REVERSE_FR	   0.000014	   0.000898	   0.000836	   0.000932	   0.004383	    107.36 % .!.
100 4  STAGGER REVERSE_BA	   0.000014	   0.000774	   0.000807	   0.000730	   0.001012	     95.90 % 
100 4  SAWTOTH REVERSE_BA	   0.000015	   0.000295	   0.000441	   0.000799	   0.003622	     66.84 % 
100 4  _RANDOM REVERSE_BA	   0.000014	!  0.000511	   0.000493	   0.001000	   0.003692	    103.79 % ..
100 4  PLATEAU REVERSE_BA	   0.000014	   0.000151	   0.000144	   0.000130	   0.000120	    104.58 % ..
100 4  SHUFFLE REVERSE_BA	   0.000015	!  0.000990	   0.000860	   0.000836	   0.004530	    115.08 % .!!.
100 4  STAGGER SORT______	   0.000014	   0.000199	   0.000230	   0.000131	   0.000121	     86.80 % 
100 4  SAWTOTH SORT______	   0.000015	   0.000376	   0.000260	   0.000130	   0.000118	    144.85 % .!!!.
100 4  _RANDOM SORT______	   0.000015	   0.000344	   0.000266	   0.000131	   0.000118	    129.24 % .!!!.
100 4  PLATEAU SORT______	   0.000015	   0.000151	   0.000145	   0.000132	   0.000119	    104.27 % ..
