
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of 2%.


Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11P	RADIX	[DPQ_11 % DPQ_18_11_21]

lreps: 801 with reps: 17

10000 16384  SHUFFLE REVERSE___	   0.001612	!  0.055411	!  0.037961	!  0.037734	!  0.052358	    145.97 % .!!!.
10000 16384  STAGGER REVERSE_FR	   0.001648	   0.646228	   0.601123	   0.641841	   0.170811	    107.50 % .!.
10000 16384  SAWTOTH REVERSE_FR	   0.001631	   0.011302	   0.010298	   0.012270	   0.039687	    109.75 % .!.
10000 16384  _RANDOM REVERSE_FR	   0.001637	   0.723597	   0.651880	   0.692128	   0.304587	    111.00 % .!!.
10000 16384  PLATEAU REVERSE_FR	   0.001618	   0.011044	   0.010644	   0.012534	   0.039598	    103.76 % ..
10000 16384  SHUFFLE REVERSE_FR	   0.001611	!  0.055441	!  0.029184	!  0.033233	!  0.071621	    189.97 % .!!!!.
10000 16384  STAGGER REVERSE_BA	   0.001653	   0.641309	   0.594088	   0.634848	   0.170527	    107.95 % .!.
10000 16384  SAWTOTH REVERSE_BA	   0.001635	   0.047614	   0.030513	   0.034850	   0.043793	    156.04 % .!!!.
10000 16384  _RANDOM REVERSE_BA	   0.001678	   0.720079	   0.651765	   0.691657	   0.304623	    110.48 % .!!.
10000 16384  PLATEAU REVERSE_BA	   0.001613	   0.047586	   0.031167	   0.034952	   0.044055	    152.68 % .!!!.
10000 16384  SHUFFLE REVERSE_BA	   0.001634	   0.073518	   0.036032	   0.036203	!  0.071665	    204.03 % .!!!!!.
10000 16384  STAGGER SORT______	   0.001620	   0.007000	   0.006998	   0.008372	   0.005022	    100.02 % ..
10000 16384  SAWTOTH SORT______	   0.001594	   0.007002	   0.007039	   0.008389	   0.005023	     99.48 % 
10000 16384  _RANDOM SORT______	   0.001664	   0.006964	   0.006984	   0.008150	   0.004973	     99.70 % 
10000 16384  PLATEAU SORT______	   0.001643	   0.007020	   0.006969	   0.008350	   0.004952	    100.74 % ..
10000 16384  SHUFFLE SORT______	   0.001624	   0.007019	   0.006975	   0.008356	   0.005006	    100.64 % ..
10000 16384  STAGGER DITHER____	   0.001630	   0.640531	   0.599246	   0.643091	   0.172157	    106.89 % .!.
10000 16384  SAWTOTH DITHER____	   0.001631	   0.099606	   0.080080	   0.083468	   0.162013	    124.38 % .!!!.
10000 16384  _RANDOM DITHER____	   0.001647	   0.725365	   0.658919	   0.700664	   0.304344	    110.08 % .!!.
10000 16384  PLATEAU DITHER____	   0.001626	   0.099155	   0.080051	   0.083601	   0.161719	    123.87 % .!!!.
10000 16384  SHUFFLE DITHER____	   0.001633	   0.095972	   0.070099	   0.077481	   0.206800	    136.91 % .!!!.

-----


--- STATS ---
Comparing sorters DPQ_11 vs DPQ_18_11_21
winners  : 0 / 277
avg   (%): 88.9383   
stats (%): [1289: µ=110.13998 σ=103.47219 rms=213.61217 min=11.273387 max=1140.8551]


Stats per keys:
STAGGER:IDENT_____ stats (%): [45: µ=92.931244 σ=41.106827 rms=134.03807 min=21.338013 max=202.82718]
SAWTOTH:IDENT_____ stats (%): [45: µ=102.05835 σ=55.981808 rms=158.04016 min=19.425621 max=310.26108]
_RANDOM:IDENT_____ stats (%): [37: µ=99.08988 σ=27.72933 rms=126.81921 min=32.909313 max=182.76581]
PLATEAU:IDENT_____ stats (%): [45: µ=77.02257 σ=29.868996 rms=106.89156 min=16.231142 max=121.35076]
SHUFFLE:IDENT_____ stats (%): [35: µ=150.75575 σ=66.937004 rms=217.69276 min=17.407675 max=272.12567]
STAGGER:REVERSE___ stats (%): [45: µ=90.11961 σ=40.18863 rms=130.30824 min=30.64222 max=192.43373]
SAWTOTH:REVERSE___ stats (%): [44: µ=101.18972 σ=61.45199 rms=162.64171 min=24.872595 max=339.00436]
_RANDOM:REVERSE___ stats (%): [41: µ=101.19508 σ=27.689804 rms=128.88489 min=32.78956 max=197.23756]
PLATEAU:REVERSE___ stats (%): [45: µ=150.78871 σ=113.3421 rms=264.1308 min=26.182774 max=369.06476]
SHUFFLE:REVERSE___ stats (%): [33: µ=108.06944 σ=49.00142 rms=157.07086 min=25.912159 max=199.1083]
STAGGER:REVERSE_FR stats (%): [45: µ=88.36844 σ=38.96844 rms=127.33688 min=24.3932 max=173.6069]
SAWTOTH:REVERSE_FR stats (%): [45: µ=101.25811 σ=55.97786 rms=157.23598 min=16.349874 max=266.3328]
_RANDOM:REVERSE_FR stats (%): [41: µ=99.28079 σ=26.04497 rms=125.32577 min=33.004925 max=173.60106]
PLATEAU:REVERSE_FR stats (%): [45: µ=389.3152 σ=397.23645 rms=786.55164 min=14.838957 max=1140.8551]
SHUFFLE:REVERSE_FR stats (%): [37: µ=127.00986 σ=52.248745 rms=179.2586 min=14.47152 max=221.61821]
STAGGER:REVERSE_BA stats (%): [44: µ=94.64573 σ=40.93221 rms=135.57794 min=24.31705 max=187.61964]
SAWTOTH:REVERSE_BA stats (%): [45: µ=103.217155 σ=61.450207 rms=164.66736 min=25.241045 max=380.89185]
_RANDOM:REVERSE_BA stats (%): [41: µ=100.84712 σ=28.528893 rms=129.37602 min=32.682133 max=187.59125]
PLATEAU:REVERSE_BA stats (%): [45: µ=81.68711 σ=28.995838 rms=110.68295 min=31.492619 max=152.68073]
SHUFFLE:REVERSE_BA stats (%): [38: µ=117.512856 σ=45.314278 rms=162.82713 min=56.15914 max=204.03531]
STAGGER:SORT______ stats (%): [45: µ=71.03597 σ=42.15943 rms=113.195404 min=12.383489 max=127.21382]
SAWTOTH:SORT______ stats (%): [45: µ=74.77222 σ=45.43752 rms=120.20973 min=11.273387 max=156.07477]
_RANDOM:SORT______ stats (%): [45: µ=74.00037 σ=44.922462 rms=118.92283 min=11.6437025 max=152.33644]
PLATEAU:SORT______ stats (%): [45: µ=76.772514 σ=29.62608 rms=106.3986 min=16.24427 max=120.995674]
SHUFFLE:SORT______ stats (%): [45: µ=70.85811 σ=41.395615 rms=112.25372 min=17.23741 max=121.42857]
STAGGER:DITHER____ stats (%): [44: µ=94.08165 σ=34.94642 rms=129.02806 min=30.304127 max=202.95998]
SAWTOTH:DITHER____ stats (%): [45: µ=103.26599 σ=29.92986 rms=133.19585 min=44.2959 max=185.64136]
_RANDOM:DITHER____ stats (%): [45: µ=104.50301 σ=24.14876 rms=128.65178 min=62.225273 max=184.28754]
PLATEAU:DITHER____ stats (%): [45: µ=116.61238 σ=29.227266 rms=145.83965 min=47.473404 max=183.67859]
SHUFFLE:DITHER____ stats (%): [44: µ=149.98857 σ=33.690666 rms=183.67923 min=59.40171 max=242.3233]


stats per keys and sizes:
- size = 50
stats (%): [118: µ=87.11517 σ=25.77917 rms=112.89434 min=33.811802 max=156.20438]
STAGGER:IDENT_____ stats (%): [4: µ=92.07179 σ=15.540455 rms=107.61225 min=73.81546 max=109.32836]
SAWTOTH:IDENT_____ stats (%): [4: µ=88.00575 σ=15.196598 rms=103.20235 min=69.4051 max=104.6729]
_RANDOM:IDENT_____ stats (%): [3: µ=88.41363 σ=7.9995527 rms=96.41318 min=82.40741 max=97.49431]
PLATEAU:IDENT_____ stats (%): [4: µ=90.42056 σ=12.289513 rms=102.710075 min=76.63551 max=103.73832]
SHUFFLE:IDENT_____ stats (%): [3: µ=129.36418 σ=24.79087 rms=154.15504 min=103.73832 max=153.2258]
STAGGER:REVERSE___ stats (%): [4: µ=65.98974 σ=9.619948 rms=75.60969 min=53.23475 max=74.82353]
SAWTOTH:REVERSE___ stats (%): [4: µ=60.24239 σ=20.601856 rms=80.844246 min=33.811802 max=82.24299]
_RANDOM:REVERSE___ stats (%): [4: µ=91.4903 σ=17.84625 rms=109.336555 min=69.94681 max=109.00693]
PLATEAU:REVERSE___ stats (%): [4: µ=55.20717 σ=17.27288 rms=72.48005 min=33.811802 max=73.4375]
SHUFFLE:REVERSE___ stats (%): [4: µ=45.193146 σ=17.301632 rms=62.494778 min=33.811802 max=70.75163]
STAGGER:REVERSE_FR stats (%): [4: µ=73.944466 σ=9.707582 rms=83.65205 min=66.825775 max=87.89474]
SAWTOTH:REVERSE_FR stats (%): [4: µ=80.013054 σ=10.554923 rms=90.56798 min=66.666664 max=91.58416]
_RANDOM:REVERSE_FR stats (%): [4: µ=82.9219 σ=11.36134 rms=94.28324 min=66.75325 max=91.666664]
PLATEAU:REVERSE_FR stats (%): [4: µ=67.74286 σ=8.263937 rms=76.0068 min=59.210526 max=78.08765]
SHUFFLE:REVERSE_FR stats (%): [4: µ=79.86242 σ=4.368718 rms=84.23114 min=74.82517 max=84.9315]
STAGGER:REVERSE_BA stats (%): [4: µ=77.400665 σ=3.2302244 rms=80.63089 min=73.453606 max=81.016045]
SAWTOTH:REVERSE_BA stats (%): [4: µ=68.429565 σ=15.312929 rms=83.74249 min=51.84136 max=82.40741]
_RANDOM:REVERSE_BA stats (%): [4: µ=79.842155 σ=10.070218 rms=89.91237 min=64.781494 max=85.927505]
PLATEAU:REVERSE_BA stats (%): [4: µ=78.719284 σ=15.666092 rms=94.385376 min=58.646618 max=96.26168]
SHUFFLE:REVERSE_BA stats (%): [4: µ=82.189865 σ=17.821629 rms=100.0115 min=58.646618 max=100.0]
STAGGER:SORT______ stats (%): [4: µ=107.2365 σ=3.6997414 rms=110.93624 min=102.77778 max=110.28037]
SAWTOTH:SORT______ stats (%): [4: µ=111.68224 σ=31.141743 rms=142.82399 min=83.17757 max=156.07477]
_RANDOM:SORT______ stats (%): [4: µ=118.48607 σ=30.792343 rms=149.27841 min=82.40741 max=152.33644]
PLATEAU:SORT______ stats (%): [4: µ=90.19773 σ=12.3457775 rms=102.54351 min=76.63551 max=104.6729]
SHUFFLE:SORT______ stats (%): [4: µ=103.48304 σ=0.905399 rms=104.388435 min=102.77778 max=104.6729]
STAGGER:DITHER____ stats (%): [4: µ=91.89265 σ=16.817675 rms=108.71032 min=73.81546 max=113.3574]
SAWTOTH:DITHER____ stats (%): [4: µ=97.87762 σ=38.84305 rms=136.72067 min=66.666664 max=153.19148]
_RANDOM:DITHER____ stats (%): [4: µ=84.93859 σ=13.283256 rms=98.22184 min=66.666664 max=96.33868]
PLATEAU:DITHER____ stats (%): [4: µ=98.49427 σ=38.768826 rms=137.26309 min=68.838524 max=152.48227]
SHUFFLE:DITHER____ stats (%): [4: µ=142.58846 σ=15.103431 rms=157.69188 min=125.56391 max=156.20438]


- size = 100
stats (%): [111: µ=92.814896 σ=18.090872 rms=110.90577 min=44.2959 max=151.0]
STAGGER:IDENT_____ stats (%): [4: µ=101.73061 σ=15.000663 rms=116.73127 min=86.13636 max=119.703705]
SAWTOTH:IDENT_____ stats (%): [4: µ=93.20145 σ=15.556679 rms=108.758125 min=70.19028 max=104.37956]
_RANDOM:IDENT_____ stats (%): [3: µ=95.181595 σ=9.229126 rms=104.41072 min=85.89083 max=104.347824]
PLATEAU:IDENT_____ stats (%): [4: µ=96.56038 σ=8.641066 rms=105.20145 min=85.52631 max=104.861115]
SHUFFLE:IDENT_____ stats (%): [3: µ=120.673325 σ=31.198523 rms=151.87184 min=85.15284 max=143.63637]
STAGGER:REVERSE___ stats (%): [4: µ=84.362 σ=21.670948 rms=106.03294 min=65.68627 max=106.38298]
SAWTOTH:REVERSE___ stats (%): [4: µ=84.30154 σ=18.059292 rms=102.360825 min=60.39823 max=103.62319]
_RANDOM:REVERSE___ stats (%): [4: µ=100.65097 σ=5.5464306 rms=106.1974 min=92.37918 max=104.004105]
PLATEAU:REVERSE___ stats (%): [4: µ=110.57102 σ=27.837511 rms=138.40852 min=87.24832 max=151.0]
SHUFFLE:REVERSE___ stats (%): [2: µ=93.43399 σ=2.9722888 rms=96.40628 min=91.33226 max=95.53571]
STAGGER:REVERSE_FR stats (%): [4: µ=78.17755 σ=12.114385 rms=90.29194 min=66.69811 max=89.2779]
SAWTOTH:REVERSE_FR stats (%): [4: µ=85.211205 σ=14.005985 rms=99.217186 min=74.3311 max=104.347824]
_RANDOM:REVERSE_FR stats (%): [3: µ=99.31889 σ=5.9961977 rms=105.315094 min=92.68293 max=104.347824]
PLATEAU:REVERSE_FR stats (%): [4: µ=91.69032 σ=11.218867 rms=102.90919 min=76.47929 max=101.37931]
SHUFFLE:REVERSE_FR stats (%): [4: µ=88.378494 σ=14.521138 rms=102.89963 min=72.76786 max=107.41627]
STAGGER:REVERSE_BA stats (%): [4: µ=99.51049 σ=9.559616 rms=109.07011 min=92.1522 max=113.56322]
SAWTOTH:REVERSE_BA stats (%): [4: µ=85.80536 σ=21.126625 rms=106.931984 min=66.893425 max=104.56323]
_RANDOM:REVERSE_BA stats (%): [3: µ=94.35875 σ=13.133168 rms=107.49191 min=79.47471 max=104.31654]
PLATEAU:REVERSE_BA stats (%): [4: µ=100.29813 σ=4.5173917 rms=104.81551 min=94.117645 max=104.861115]
SHUFFLE:REVERSE_BA stats (%): [2: µ=74.233116 σ=18.9901 rms=93.22321 min=60.805084 max=87.66114]
STAGGER:SORT______ stats (%): [4: µ=85.94679 σ=0.67575985 rms=86.62256 min=85.21739 max=86.521736]
SAWTOTH:SORT______ stats (%): [4: µ=103.853485 σ=28.781137 rms=132.63461 min=82.35294 max=144.61539]
_RANDOM:SORT______ stats (%): [4: µ=96.37838 σ=27.032259 rms=123.41064 min=65.17572 max=129.3233]
PLATEAU:SORT______ stats (%): [4: µ=94.95347 σ=8.906455 rms=103.859924 min=85.08772 max=104.13793]
SHUFFLE:SORT______ stats (%): [4: µ=84.93578 σ=0.5130857 rms=85.44887 min=84.347824 max=85.52631]
STAGGER:DITHER____ stats (%): [4: µ=100.859474 σ=13.240615 rms=114.10009 min=86.34812 max=114.73088]
SAWTOTH:DITHER____ stats (%): [4: µ=81.68602 σ=28.772043 rms=110.45807 min=44.2959 max=114.14868]
_RANDOM:DITHER____ stats (%): [4: µ=86.35274 σ=7.225955 rms=93.57869 min=79.908676 max=95.25223]
PLATEAU:DITHER____ stats (%): [4: µ=76.73115 σ=25.61851 rms=102.349655 min=47.473404 max=109.40032]
SHUFFLE:DITHER____ stats (%): [3: µ=96.644875 σ=35.419586 rms=132.06445 min=59.40171 max=129.90398]


- size = 200
stats (%): [145: µ=98.32001 σ=23.43435 rms=121.75436 min=53.425774 max=155.55556]
STAGGER:IDENT_____ stats (%): [5: µ=86.55221 σ=14.2422495 rms=100.79446 min=65.75944 max=100.72666]
SAWTOTH:IDENT_____ stats (%): [5: µ=102.856415 σ=19.810194 rms=122.66661 min=76.48699 max=123.48337]
_RANDOM:IDENT_____ stats (%): [4: µ=88.17894 σ=9.611379 rms=97.79032 min=78.875305 max=101.63265]
PLATEAU:IDENT_____ stats (%): [5: µ=104.371155 σ=10.856596 rms=115.22775 min=96.58703 max=121.35076]
SHUFFLE:IDENT_____ stats (%): [5: µ=125.96979 σ=22.69982 rms=148.6696 min=91.83183 max=152.7551]
STAGGER:REVERSE___ stats (%): [5: µ=83.48484 σ=10.09063 rms=93.57547 min=68.988464 max=96.94261]
SAWTOTH:REVERSE___ stats (%): [5: µ=82.368576 σ=17.511919 rms=99.88049 min=57.749077 max=102.01613]
_RANDOM:REVERSE___ stats (%): [4: µ=85.86953 σ=11.955895 rms=97.82543 min=72.37103 max=101.2]
PLATEAU:REVERSE___ stats (%): [5: µ=109.08507 σ=15.914751 rms=124.99982 min=92.2 max=131.21019]
SHUFFLE:REVERSE___ stats (%): [4: µ=92.38058 σ=11.545654 rms=103.92623 min=76.21749 max=102.51798]
STAGGER:REVERSE_FR stats (%): [5: µ=83.3685 σ=14.555659 rms=97.92416 min=67.045456 max=105.32025]
SAWTOTH:REVERSE_FR stats (%): [5: µ=90.22569 σ=31.651117 rms=121.87681 min=53.425774 max=136.70766]
_RANDOM:REVERSE_FR stats (%): [4: µ=89.529175 σ=10.595454 rms=100.12463 min=77.714584 max=102.82258]
PLATEAU:REVERSE_FR stats (%): [5: µ=117.66276 σ=26.560041 rms=144.2228 min=97.3384 max=155.55556]
SHUFFLE:REVERSE_FR stats (%): [5: µ=127.68844 σ=16.232275 rms=143.92072 min=103.37244 max=141.28595]
STAGGER:REVERSE_BA stats (%): [5: µ=86.09642 σ=9.290164 rms=95.38659 min=73.146385 max=97.90105]
SAWTOTH:REVERSE_BA stats (%): [5: µ=88.142555 σ=25.54321 rms=113.68577 min=56.798756 max=120.522385]
_RANDOM:REVERSE_BA stats (%): [4: µ=90.41223 σ=9.467924 rms=99.88016 min=82.44838 max=102.82258]
PLATEAU:REVERSE_BA stats (%): [5: µ=91.23963 σ=19.875553 rms=111.11518 min=56.90994 max=108.75]
SHUFFLE:REVERSE_BA stats (%): [5: µ=70.44338 σ=13.1370125 rms=83.58039 min=56.15914 max=91.31702]
STAGGER:SORT______ stats (%): [5: µ=121.21929 σ=3.5788364 rms=124.79813 min=118.03607 max=127.21382]
SAWTOTH:SORT______ stats (%): [5: µ=121.88743 σ=15.870091 rms=137.75752 min=103.305786 max=144.72656]
_RANDOM:SORT______ stats (%): [5: µ=117.3831 σ=9.702499 rms=127.0856 min=102.0 max=127.73852]
PLATEAU:SORT______ stats (%): [5: µ=104.09851 σ=10.5111 rms=114.60961 min=96.91781 max=120.995674]
SHUFFLE:SORT______ stats (%): [5: µ=121.05781 σ=0.3923382 rms=121.45014 min=120.51836 max=121.42857]
STAGGER:DITHER____ stats (%): [5: µ=84.37386 σ=16.37307 rms=100.74693 min=63.628967 max=101.853935]
SAWTOTH:DITHER____ stats (%): [5: µ=79.03105 σ=23.580107 rms=102.61116 min=57.839947 max=115.39326]
_RANDOM:DITHER____ stats (%): [5: µ=77.241936 σ=13.553082 rms=90.79502 min=62.225273 max=90.57501]
PLATEAU:DITHER____ stats (%): [5: µ=84.437 σ=26.649427 rms=111.08642 min=60.74856 max=115.81921]
SHUFFLE:DITHER____ stats (%): [5: µ=133.89838 σ=23.837091 rms=157.73547 min=92.770386 max=153.52113]


- size = 500
stats (%): [145: µ=100.079315 σ=70.034485 rms=170.1138 min=14.319809 max=297.86185]
STAGGER:IDENT_____ stats (%): [5: µ=106.08431 σ=59.099358 rms=165.18367 min=29.34565 max=190.43596]
SAWTOTH:IDENT_____ stats (%): [5: µ=109.02414 σ=85.03714 rms=194.06128 min=28.78742 max=213.9309]
_RANDOM:IDENT_____ stats (%): [4: µ=79.29727 σ=30.316917 rms=109.61419 min=34.117645 max=97.620186]
PLATEAU:IDENT_____ stats (%): [5: µ=40.92524 σ=13.356956 rms=54.282196 min=18.2145 max=49.836067]
SHUFFLE:IDENT_____ stats (%): [4: µ=162.18756 σ=116.81773 rms=279.0053 min=21.751616 max=272.12567]
STAGGER:REVERSE___ stats (%): [5: µ=107.47194 σ=55.036472 rms=162.5084 min=36.477886 max=186.28767]
SAWTOTH:REVERSE___ stats (%): [5: µ=117.1966 σ=91.79509 rms=208.9917 min=31.654676 max=221.1985]
_RANDOM:REVERSE___ stats (%): [5: µ=106.58875 σ=58.366047 rms=164.9548 min=34.12162 max=197.23756]
PLATEAU:REVERSE___ stats (%): [5: µ=76.83892 σ=29.84437 rms=106.68329 min=27.987133 max=99.3311]
SHUFFLE:REVERSE___ stats (%): [3: µ=97.41885 σ=66.46402 rms=163.88287 min=29.054054 max=161.80318]
STAGGER:REVERSE_FR stats (%): [5: µ=101.834145 σ=52.218555 rms=154.05269 min=32.92489 max=173.42052]
SAWTOTH:REVERSE_FR stats (%): [5: µ=126.270256 σ=102.09628 rms=228.36655 min=31.66972 max=236.64409]
_RANDOM:REVERSE_FR stats (%): [5: µ=98.575455 σ=49.75109 rms=148.32655 min=34.006733 max=173.60106]
PLATEAU:REVERSE_FR stats (%): [5: µ=201.87172 σ=124.95065 rms=326.8224 min=16.608877 max=297.86185]
SHUFFLE:REVERSE_FR stats (%): [4: µ=133.41158 σ=85.77981 rms=219.19138 min=15.481577 max=219.13661]
STAGGER:REVERSE_BA stats (%): [5: µ=113.59363 σ=59.26517 rms=172.8588 min=29.492826 max=187.61964]
SAWTOTH:REVERSE_BA stats (%): [5: µ=110.75315 σ=79.188354 rms=189.94151 min=32.12642 max=199.14583]
_RANDOM:REVERSE_BA stats (%): [5: µ=103.74695 σ=54.810455 rms=158.5574 min=33.838383 max=187.59125]
PLATEAU:REVERSE_BA stats (%): [5: µ=57.370922 σ=24.611187 rms=81.98211 min=39.632545 max=100.79172]
SHUFFLE:REVERSE_BA stats (%): [5: µ=132.35075 σ=42.409737 rms=174.7605 min=79.18724 max=180.43286]
STAGGER:SORT______ stats (%): [5: µ=21.497059 σ=0.34333798 rms=21.840397 min=21.11111 max=21.829971]
SAWTOTH:SORT______ stats (%): [5: µ=22.639244 σ=6.9625883 rms=29.601833 min=17.882353 max=34.848484]
_RANDOM:SORT______ stats (%): [5: µ=21.669003 σ=7.4556246 rms=29.124626 min=14.319809 max=34.175083]
PLATEAU:SORT______ stats (%): [5: µ=41.098137 σ=13.315365 rms=54.4135 min=18.363636 max=50.0]
SHUFFLE:SORT______ stats (%): [5: µ=21.78351 σ=0.08106998 rms=21.86458 min=21.736012 max=21.926672]
STAGGER:DITHER____ stats (%): [5: µ=121.16342 σ=44.7799 rms=165.94331 min=78.069695 max=192.1875]
SAWTOTH:DITHER____ stats (%): [5: µ=123.223045 σ=43.60623 rms=166.82928 min=85.07417 max=185.64136]
_RANDOM:DITHER____ stats (%): [5: µ=130.72884 σ=47.675663 rms=178.4045 min=90.28242 max=184.28754]
PLATEAU:DITHER____ stats (%): [5: µ=163.31581 σ=20.429192 rms=183.745 min=135.38608 max=183.67859]
SHUFFLE:DITHER____ stats (%): [5: µ=166.31668 σ=35.942726 rms=202.2594 min=113.01811 max=208.10811]


- size = 1000
stats (%): [172: µ=97.1035 σ=71.601456 rms=168.70496 min=11.6437025 max=380.89185]
STAGGER:IDENT_____ stats (%): [6: µ=96.925705 σ=47.05158 rms=143.97728 min=24.731606 max=160.76097]
SAWTOTH:IDENT_____ stats (%): [6: µ=110.05576 σ=108.946045 rms=219.0018 min=19.425621 max=310.26108]
_RANDOM:IDENT_____ stats (%): [4: µ=106.27312 σ=63.3327 rms=169.6058 min=34.517765 max=182.76581]
PLATEAU:IDENT_____ stats (%): [6: µ=41.178936 σ=12.580696 rms=53.759632 min=19.551802 max=50.838924]
SHUFFLE:IDENT_____ stats (%): [5: µ=165.50027 σ=96.91102 rms=262.4113 min=19.448895 max=251.49135]
STAGGER:REVERSE___ stats (%): [6: µ=102.27234 σ=50.126743 rms=152.39908 min=31.963438 max=174.8871]
SAWTOTH:REVERSE___ stats (%): [6: µ=119.40549 σ=118.574615 rms=237.9801 min=26.129032 max=339.00436]
_RANDOM:REVERSE___ stats (%): [5: µ=93.89905 σ=34.97878 rms=128.87782 min=34.345993 max=115.322205]
PLATEAU:REVERSE___ stats (%): [6: µ=76.65988 σ=30.835716 rms=107.4956 min=26.182774 max=101.77365]
SHUFFLE:REVERSE___ stats (%): [5: µ=127.811714 σ=67.2992 rms=195.11092 min=26.22653 max=196.97249]
STAGGER:REVERSE_FR stats (%): [6: µ=99.10187 σ=49.843033 rms=148.9449 min=29.36137 max=166.95042]
SAWTOTH:REVERSE_FR stats (%): [6: µ=108.99839 σ=93.3247 rms=202.32309 min=16.349874 max=266.3328]
_RANDOM:REVERSE_FR stats (%): [5: µ=92.010345 σ=33.56005 rms=125.5704 min=34.263958 max=116.782196]
PLATEAU:REVERSE_FR stats (%): [6: µ=213.5948 σ=120.65938 rms=334.25418 min=16.33888 max=302.6711]
SHUFFLE:REVERSE_FR stats (%): [5: µ=138.18958 σ=79.44639 rms=217.63597 min=16.298157 max=221.61821]
STAGGER:REVERSE_BA stats (%): [6: µ=108.11479 σ=54.54317 rms=162.65796 min=27.659718 max=179.20236]
SAWTOTH:REVERSE_BA stats (%): [6: µ=139.93834 σ=125.20283 rms=265.14117 min=34.067795 max=380.89185]
_RANDOM:REVERSE_BA stats (%): [5: µ=97.953354 σ=40.244904 rms=138.19826 min=34.80851 max=126.7589]
PLATEAU:REVERSE_BA stats (%): [6: µ=49.92162 σ=13.346947 rms=63.268566 min=31.492619 max=72.83451]
SHUFFLE:REVERSE_BA stats (%): [6: µ=125.88724 σ=45.432743 rms=171.31998 min=73.39642 max=179.57332]
STAGGER:SORT______ stats (%): [6: µ=18.510933 σ=1.9892906 rms=20.500223 min=14.484412 max=19.63011]
SAWTOTH:SORT______ stats (%): [6: µ=19.95198 σ=7.6443896 rms=27.59637 min=11.806236 max=34.203876]
_RANDOM:SORT______ stats (%): [6: µ=19.747988 σ=7.7553153 rms=27.503304 min=11.6437025 max=34.150463]
PLATEAU:SORT______ stats (%): [6: µ=41.244846 σ=12.596299 rms=53.841145 min=19.604666 max=50.58431]
SHUFFLE:SORT______ stats (%): [6: µ=19.507704 σ=0.05599461 rms=19.563698 min=19.443556 max=19.572954]
STAGGER:DITHER____ stats (%): [6: µ=108.04577 σ=32.50452 rms=140.5503 min=66.4603 max=158.33513]
SAWTOTH:DITHER____ stats (%): [6: µ=116.254684 σ=32.815056 rms=149.06973 min=80.53861 max=163.17189]
_RANDOM:DITHER____ stats (%): [6: µ=108.37901 σ=9.973347 rms=118.352356 min=95.90587 max=119.53421]
PLATEAU:DITHER____ stats (%): [6: µ=129.71455 σ=9.672443 rms=139.387 min=118.91833 max=144.1048]
SHUFFLE:DITHER____ stats (%): [6: µ=143.2353 σ=17.544554 rms=160.77986 min=117.54386 max=160.17229]


- size = 2000
stats (%): [167: µ=86.5264 σ=60.30288 rms=146.82927 min=11.273387 max=287.31766]
STAGGER:IDENT_____ stats (%): [6: µ=69.19682 σ=33.198566 rms=102.39539 min=21.338013 max=122.70186]
SAWTOTH:IDENT_____ stats (%): [6: µ=84.873535 σ=53.84735 rms=138.72089 min=22.23789 max=147.38696]
_RANDOM:IDENT_____ stats (%): [4: µ=95.30589 σ=46.711224 rms=142.01712 min=32.909313 max=138.4145]
PLATEAU:IDENT_____ stats (%): [6: µ=41.129246 σ=12.884042 rms=54.013287 min=16.231142 max=49.16633]
SHUFFLE:IDENT_____ stats (%): [5: µ=153.7347 σ=90.41633 rms=244.15102 min=17.407675 max=248.3707]
STAGGER:REVERSE___ stats (%): [6: µ=73.8348 σ=32.60216 rms=106.436966 min=30.64222 max=127.39473]
SAWTOTH:REVERSE___ stats (%): [5: µ=88.61009 σ=56.90569 rms=145.51578 min=24.872595 max=151.24466]
_RANDOM:REVERSE___ stats (%): [4: µ=101.17938 σ=47.512787 rms=148.69217 min=32.78956 max=137.76291]
PLATEAU:REVERSE___ stats (%): [6: µ=76.30831 σ=26.774857 rms=103.08317 min=26.6453 max=95.10691]
SHUFFLE:REVERSE___ stats (%): [5: µ=123.060524 σ=63.114323 rms=186.17485 min=25.912159 max=193.71432]
STAGGER:REVERSE_FR stats (%): [6: µ=69.509766 σ=34.178146 rms=103.68791 min=24.3932 max=127.78471]
SAWTOTH:REVERSE_FR stats (%): [6: µ=75.7031 σ=45.758884 rms=121.46198 min=24.397903 max=132.91289]
_RANDOM:REVERSE_FR stats (%): [5: µ=105.614876 σ=44.989437 rms=150.60431 min=33.004925 max=139.81622]
PLATEAU:REVERSE_FR stats (%): [6: µ=211.0015 σ=114.78915 rms=325.79065 min=14.838957 max=287.31766]
SHUFFLE:REVERSE_FR stats (%): [5: µ=136.73549 σ=70.4467 rms=207.18219 min=14.47152 max=196.68529]
STAGGER:REVERSE_BA stats (%): [5: µ=76.0367 σ=36.918556 rms=112.95525 min=24.31705 max=127.63863]
