
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

CHECK_SORTED: false
USE_BOTTOM_UP: false
Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)


Length Sub-size  Builder Tweaker	BASELINE	DPQ_18_11	DPQ_18_11P	DPQ_11	RADIX	MARLIN	PEEK_SORT	DPQ_18_11_E	MARLIN_M2	[DPQ_18_11 % DPQ_18_11P]

lreps: 1 with reps: 5

1000000 256  PLATEAU REVERSE_BA	   0.463353	   1.194413	   1.188352	   1.289903	   1.206807	  15.323719	  10.141069	   1.150751	  31.557526	    100.51 % ..
1000000 256  SHUFFLE REVERSE_BA	!  0.599724	  18.150451	  20.770553	  30.126383	  39.576262	  62.717537	  51.388416	  26.484449	  90.301368	     87.39 % 
1000000 256  STAGGER SORT______	   0.841150	   0.788630	   0.710815	   0.868602	   0.733884	  13.650465	   9.627087	   0.751672	  27.831119	    110.95 % .!!.
1000000 256  SAWTOTH SORT______	   0.819996	   0.927034	!  0.443640	!  0.845013	   0.747328	  14.964881	   9.733009	   0.760883	  31.169188	    208.96 % .!!!!!.
1000000 256  _RANDOM SORT______	   0.826865	   0.784358	   0.805229	   0.961021	   0.748563	  14.832238	   9.631956	   0.754469	  31.041739	     97.41 % 
1000000 256  PLATEAU SORT______	   0.850140	   0.795244	   0.720878	   0.875231	   0.748387	  14.866606	   9.620433	   0.755780	  31.119413	    110.32 % .!!.
1000000 256  SHUFFLE SORT______	   0.841935	   0.775417	   0.702982	   0.954001	   0.726785	  13.737004	   9.631815	   0.740524	  28.260603	    110.30 % .!!.
1000000 256  STAGGER DITHER____	   0.850065	  29.886093	  31.061945	 103.405004	  36.806625	  58.828976	  48.012646	  64.346788	  78.050893	     96.21 % 
1000000 256  SAWTOTH DITHER____	   0.853606	  41.860860	  46.408521	  40.291668	  19.104101	  88.214812	  88.414407	  61.980080	 118.140744	     90.20 % 
1000000 256  _RANDOM DITHER____	!  0.832787	  61.834949	  66.134397	  64.915324	  19.716739	 170.787439	 164.675999	  82.639085	 201.498971	     93.50 % 
1000000 256  PLATEAU DITHER____	   0.898389	   5.526508	   5.989950	   6.829394	  19.648949	  94.953187	  90.731822	   8.284840	 122.808987	     92.26 % 
1000000 256  SHUFFLE DITHER____	   0.888842	  25.770823	  29.550815	  37.517158	  42.444348	  65.181224	  74.223158	  34.991078	  92.028283	     87.21 % 
1000000 4096  STAGGER IDENT_____	   0.484749	 115.452705	 120.408073	 122.206797	  34.399735	  80.545979	  70.288924	 148.440460	 103.301984	     95.88 % 
1000000 4096  SAWTOTH IDENT_____	   0.484469	  30.957423	  32.020679	  45.839332	  24.820094	  60.353607	  49.264244	  66.082829	  80.115480	     96.68 % 
1000000 4096  _RANDOM IDENT_____	   0.488944	  91.673243	  97.693535	  96.229534	  24.417381	 196.758258	 192.149953	 121.389419	 228.453360	     93.84 % 
1000000 4096  PLATEAU IDENT_____	   0.485376	   1.342066	   1.195896	   1.356153	   1.291208	  15.841487	  10.487164	   1.301120	  32.635353	    112.22 % .!!.
1000000 4096  SHUFFLE IDENT_____	   0.626939	  16.867631	  18.551146	  36.450631	  39.794937	  45.580573	  35.963707	  42.350471	  66.993751	     90.93 % 
