
--- Bentley Basher ---

Start warm up ...
warmup length: 10010 reps: 25
  End warm up (6000 iterations per sort).


-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)



                                    DPQ_11         DPQ_18_2         DPQ_18_11         RADIX         MARLIN         MERGE_TD         MERGE_BU        [DPQ_11 % DPQ_18_11]

1000 4  PLATEAU REVERSE_BA  	  0.000892	  0.001315	  0.001536	  0.000912	  0.005868	  0.002484	  0.001967	     58.05 % 
1000 4  SHUFFLE REVERSE_BA  	  0.013571	  0.017528	  0.020543	  0.027698	  0.024604	  0.023320	  0.024464	     66.06 % 
1000 4  STAGGER SORT______  	  0.000873	  0.006124	  0.005871	  0.000982	  0.004881	  0.002430	  0.001948	     14.87 % 
1000 4  SAWTOTH SORT______  	  0.000788	  0.004413	  0.003434	  0.000796	  0.005942	  0.002439	  0.001984	     22.93 % 
1000 4  _RANDOM SORT______  	  0.000795	  0.003700	  0.003416	  0.000831	  0.005703	  0.002488	  0.001977	     23.26 % 
1000 4  PLATEAU SORT______  	  0.000805	  0.001487	  0.001344	  0.000841	  0.005901	  0.002466	  0.001963	     59.89 % 
1000 4  SHUFFLE SORT______  	  0.000848	  0.006150	  0.005977	  0.000987	  0.004975	  0.002467	  0.003948	     14.19 % 
1000 4  STAGGER DITHER____  	  0.010901	  0.016880	  0.019894	  0.009814	  0.015562	  0.012900	  0.012834	     54.80 % 
1000 4  SAWTOTH DITHER____  	  0.006728	  0.005764	  0.005008	  0.018471	  0.025989	  0.025686	  0.024304	    134.33 % .!!!.
1000 4  _RANDOM DITHER____  	  0.005745	  0.005592	  0.005017	  0.018578	  0.027102	  0.026284	  0.031150	    114.50 % .!!.
1000 4  PLATEAU DITHER____  	  0.005123	  0.005318	  0.004550	  0.020078	  0.025292	  0.022632	  0.023842	    112.61 % .!!.
1000 4  SHUFFLE DITHER____  	  0.015146	  0.013580	  0.015058	  0.028267	  0.023410	  0.020528	  0.019866	    100.58 % ..
1000 16  STAGGER IDENT_____  	  0.019102	  0.017510	  0.019053	  0.022872	  0.020524	  0.018095	  0.018323	    100.26 % ..
1000 16  SAWTOTH IDENT_____  	  0.023349	  0.009781	  0.008563	  0.018698	  0.025946	  0.023274	  0.022340	    272.65 % .!!!!!.
