
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of 2 %.


Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11P	RADIX	[DPQ_11 % DPQ_18_11_21]

lreps: 1 with reps: 5

50000 16  PLATEAU REVERSE_BA	   0.021938	   0.050529	   0.079503	   0.029982	   0.042704	     63.56 % 
50000 16  SHUFFLE REVERSE_BA	   0.021938	   2.090499	   2.322533	   2.436382	   2.094207	     90.01 % 
50000 16  STAGGER SORT______	   0.021874	   0.044964	   0.071727	   0.030229	   0.042777	     62.69 % 
50000 16  SAWTOTH SORT______	!  0.021431	   0.050216	   0.069982	   0.030282	   0.042497	     71.76 % 
50000 16  _RANDOM SORT______	!  0.021456	   0.050043	   0.076842	   0.030248	   0.042312	     65.12 % 
50000 16  PLATEAU SORT______	!  0.021340	   0.051071	   0.079764	   0.030663	   0.043322	     64.03 % 
50000 16  SHUFFLE SORT______	   0.021905	   0.045154	   0.071377	   0.030153	   0.042828	     63.26 % 
50000 16  STAGGER DITHER____	   0.021971	   1.315084	   0.726218	   0.667794	   1.551179	    181.09 % .!!!!.
50000 16  SAWTOTH DITHER____	   0.021998	   1.383558	   1.548469	   1.580229	   1.050974	     89.35 % 
50000 16  _RANDOM DITHER____	   0.021997	   2.090560	   2.073583	   2.103183	   1.049379	    100.82 % ..
50000 16  PLATEAU DITHER____	   0.021998	   0.349125	   0.243203	   0.230718	   1.047906	    143.55 % .!!!.
50000 16  SHUFFLE DITHER____	   0.021965	   2.474318	   2.223964	   2.303521	   2.253890	    111.26 % .!!.
50000 64  STAGGER IDENT_____	   0.021919	   1.865382	   5.221938	   5.138147	   1.423455	     35.72 % 
50000 64  SAWTOTH IDENT_____	   0.021908	   1.514366	   1.871509	   1.907061	   1.048325	     80.92 % 
50000 64  _RANDOM IDENT_____	!  0.021501	   2.927759	   2.886114	   2.929640	   1.052932	    101.44 % ..
50000 64  PLATEAU IDENT_____	   0.021923	   0.050537	   0.079256	   0.029983	   0.042763	     63.76 % 
50000 64  SHUFFLE IDENT_____	   0.021919	   1.890547	   1.105290	   1.141816	   2.112823	    171.05 % .!!!!.
50000 64  STAGGER REVERSE___	   0.021915	   1.944472	   5.280173	   5.204543	   1.445723	     36.83 % 
50000 64  SAWTOTH REVERSE___	   0.021911	   1.626016	   1.815651	   1.875532	   1.051705	     89.56 % 
50000 64  _RANDOM REVERSE___	   0.021927	   2.938687	   3.002925	   3.078135	   1.052700	     97.86 % 
50000 64  PLATEAU REVERSE___	   0.021930	   0.107319	   0.037251	   0.025521	   0.031024	    288.10 % .!!!!!.
50000 64  SHUFFLE REVERSE___	   0.021904	   1.608954	   1.590584	   1.637562	   2.037885	    101.15 % ..
50000 64  STAGGER REVERSE_FR	   0.021861	   1.892695	   5.394719	   5.329863	   1.455809	     35.08 % 
50000 64  SAWTOTH REVERSE_FR	   0.021876	   1.633564	   1.898444	   1.942398	   1.051487	     86.05 % 
50000 64  _RANDOM REVERSE_FR	   0.021870	   2.928847	   2.984023	   3.051362	   1.049477	     98.15 % 
50000 64  PLATEAU REVERSE_FR	   0.021894	   0.331417	   0.037463	   0.025615	   0.031023	    884.65 % .!!!!!.
50000 64  SHUFFLE REVERSE_FR	   0.021869	   1.835215	   1.482487	   1.546999	   2.066611	    123.79 % .!!!.
50000 64  STAGGER REVERSE_BA	!  0.021536	   1.901044	   5.461152	   5.433633	   1.441802	     34.81 % 
50000 64  SAWTOTH REVERSE_BA	   0.021917	   1.532607	   1.837861	   1.885811	   1.048761	     83.39 % 
50000 64  _RANDOM REVERSE_BA	   0.021936	   2.952343	   3.016394	   3.094621	   1.050790	     97.88 % 
50000 64  PLATEAU REVERSE_BA	   0.021963	   0.050450	   0.071419	   0.029952	   0.042833	     70.64 % 
50000 64  SHUFFLE REVERSE_BA	   0.021949	   1.670656	   1.558835	   1.633213	   2.103961	    107.17 % .!.
50000 64  STAGGER SORT______	   0.021918	   0.050524	   0.079275	   0.030070	   0.042816	     63.73 % 
50000 64  SAWTOTH SORT______	   0.021933	   0.050213	   0.071157	   0.030327	   0.042658	     70.57 % 
50000 64  _RANDOM SORT______	   0.021924	   0.050680	   0.078504	   0.030398	   0.042587	     64.56 % 
50000 64  PLATEAU SORT______	!  0.021349	   0.051075	   0.071654	   0.030490	   0.043348	     71.28 % 
50000 64  SHUFFLE SORT______	   0.021899	   0.050479	   0.079245	   0.030291	   0.042740	     63.70 % 
50000 64  STAGGER DITHER____	   0.021969	   1.866732	   5.222074	   5.136688	   1.429744	     35.75 % 
50000 64  SAWTOTH DITHER____	!  0.021563	   1.943624	   2.216193	   2.232613	   1.048514	     87.70 % 
50000 64  _RANDOM DITHER____	   0.021959	   2.987593	   2.972498	   3.021592	   1.050468	    100.51 % ..
50000 64  PLATEAU DITHER____	   0.021951	   0.355580	   0.243767	   0.232333	   1.052949	    145.87 % .!!!.
50000 64  SHUFFLE DITHER____	   0.021987	   2.117640	   1.575163	   1.634395	   2.163854	    134.44 % .!!!.
50000 256  STAGGER IDENT_____	   0.021943	   5.416344	   5.744559	   5.673244	   1.785651	     94.29 % 
50000 256  SAWTOTH IDENT_____	   0.021978	   2.029051	   2.610958	   2.721875	   1.055123	     77.71 % 
50000 256  _RANDOM IDENT_____	!  0.021519	   3.902690	   3.957123	   4.036125	   1.054054	     98.62 % 
50000 256  PLATEAU IDENT_____	   0.021915	   0.045167	   0.079011	   0.030101	   0.042803	     57.17 % 
50000 256  SHUFFLE IDENT_____	!  0.021517	   1.833273	   0.882333	   0.892101	   2.066666	    207.78 % .!!!!!.
50000 256  STAGGER REVERSE___	   0.021943	   5.354145	   5.744467	   5.683387	   1.800082	     93.21 % 
50000 256  SAWTOTH REVERSE___	   0.021902	   2.042125	   2.511505	   2.606063	   1.061153	     81.31 % 
50000 256  _RANDOM REVERSE___	   0.021882	   3.931585	   3.970036	   4.034164	   1.054935	     99.03 % 
50000 256  PLATEAU REVERSE___	   0.021931	   0.118422	   0.037928	   0.026011	   0.031645	    312.22 % .!!!!!.
50000 256  SHUFFLE REVERSE___	   0.021908	   1.627468	   1.618510	   1.655913	   2.072511	    100.55 % ..
50000 256  STAGGER REVERSE_FR	   0.021878	   5.434844	   5.820935	   5.810939	   1.806229	     93.37 % 
50000 256  SAWTOTH REVERSE_FR	   0.021874	   2.142186	   2.602533	   2.706068	   1.061824	     82.31 % 
50000 256  _RANDOM REVERSE_FR	   0.021886	   3.922390	   4.007415	   4.087792	   1.052456	     97.88 % 
50000 256  PLATEAU REVERSE_FR	   0.021863	   0.332169	   0.038019	   0.026243	   0.031582	    873.70 % .!!!!!.
50000 256  SHUFFLE REVERSE_FR	   0.021870	   1.872003	   1.431304	   1.474208	   1.984343	    130.79 % .!!!.
50000 256  STAGGER REVERSE_BA	   0.021942	   5.362170	   5.787805	   5.730719	   1.801466	     92.65 % 
50000 256  SAWTOTH REVERSE_BA	   0.021962	   2.023684	   2.473419	   2.539916	   1.056840	     81.82 % 
50000 256  _RANDOM REVERSE_BA	!  0.021507	   3.942183	   3.995770	   4.075295	   1.053037	     98.66 % 
50000 256  PLATEAU REVERSE_BA	   0.021945	   0.050604	   0.078978	   0.030181	   0.042774	     64.07 % 
50000 256  SHUFFLE REVERSE_BA	   0.021941	   1.625741	   1.248080	   1.272119	   2.053179	    130.26 % .!!!.
50000 256  STAGGER SORT______	   0.021934	   0.045014	   0.071162	   0.030285	   0.042822	     63.26 % 
50000 256  SAWTOTH SORT______	   0.021927	   0.050428	   0.071017	   0.030506	   0.042565	     71.01 % 
50000 256  _RANDOM SORT______	   0.021932	   0.044957	   0.071495	   0.030437	   0.042698	     62.88 % 
50000 256  PLATEAU SORT______	   0.021740	   0.050608	   0.079046	   0.030153	   0.042986	     64.02 % 
50000 256  SHUFFLE SORT______	   0.021862	   0.050822	   0.079420	   0.030338	   0.042899	     63.99 % 
50000 256  STAGGER DITHER____	   0.021958	   5.384290	   5.664928	   5.602918	   1.788549	     95.05 % 
50000 256  SAWTOTH DITHER____	   0.022002	   2.432135	   2.870824	   3.162371	   1.060639	     84.72 % 
50000 256  _RANDOM DITHER____	   0.021987	   3.935945	   3.963649	   4.063629	   1.062966	     99.30 % 
50000 256  PLATEAU DITHER____	   0.021968	   0.352374	   0.233248	   0.224001	   1.050303	    151.07 % .!!!.
50000 256  SHUFFLE DITHER____	   0.021970	   2.062827	   1.306208	   1.362788	   2.101734	    157.92 % .!!!.
