
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

CHECK_SORTED: false
USE_BOTTOM_UP: false
Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)


Length Sub-size  Builder Tweaker	BASELINE	DPQ_18_11	DPQ_18_11P	DPQ_11	RADIX	MARLIN	PEEK_SORT	DPQ_18_11_E	MARLIN_M2	[DPQ_18_11 % DPQ_18_11P]

lreps: 801 with reps: 17

2000 1  PLATEAU REVERSE_BA	   0.000324	   0.001919	   0.001942	   0.000964	   0.000971	   0.010064	   0.009183	   0.001928	   0.018923	     98.83 % 
2000 1  SHUFFLE REVERSE_BA	   0.000325	   0.015136	   0.016214	   0.007525	   0.007296	   0.013775	   0.012057	   0.021063	   0.023964	     93.36 % 
2000 1  STAGGER SORT______	   0.000328	   0.008861	   0.009360	   0.000963	   0.000975	   0.008954	   0.009131	   0.011492	   0.015504	     94.67 % 
2000 1  SAWTOTH SORT______	   0.000328	   0.001899	   0.001903	   0.000802	   0.001373	   0.010078	   0.009200	   0.001911	   0.019010	     99.79 % 
2000 1  _RANDOM SORT______	   0.000329	   0.001909	   0.001902	   0.000801	   0.001369	   0.010112	   0.009247	   0.001910	   0.019001	    100.34 % ..
2000 1  PLATEAU SORT______	   0.000324	   0.001923	   0.001925	   0.000963	   0.000972	   0.010147	   0.009163	   0.001938	   0.018975	     99.89 % 
2000 1  SHUFFLE SORT______	   0.000324	   0.008807	   0.009351	   0.000963	   0.000972	   0.009043	   0.009134	   0.011459	   0.015600	     94.18 % 
2000 1  STAGGER DITHER____	   0.000332	   0.039307	   0.042836	   0.023984	   0.029824	   0.028060	   0.037522	   0.060746	   0.039475	     91.76 % 
2000 1  SAWTOTH DITHER____	   0.000325	   0.006382	   0.006410	   0.007539	   0.021915	   0.050675	   0.046370	   0.008527	   0.065371	     99.56 % 
2000 1  _RANDOM DITHER____	   0.000325	   0.006353	   0.006399	   0.007525	   0.021904	   0.050448	   0.046401	   0.008450	   0.065571	     99.27 % 
2000 1  PLATEAU DITHER____	   0.000330	   0.006368	   0.006390	   0.007487	   0.021959	   0.050467	   0.046477	   0.008515	   0.065226	     99.66 % 
2000 1  SHUFFLE DITHER____	   0.000325	   0.010749	   0.011231	   0.013339	   0.031398	   0.027126	   0.035597	   0.013697	   0.039042	     95.71 % 
2000 4  STAGGER IDENT_____	   0.000327	   0.032715	   0.035131	   0.015872	   0.015832	   0.028269	   0.018588	   0.051071	   0.038391	     93.12 % 
2000 4  SAWTOTH IDENT_____	   0.000333	   0.005436	   0.005502	   0.008580	   0.021859	   0.050587	   0.046698	   0.006986	   0.066230	     98.79 % 
2000 4  _RANDOM IDENT_____	   0.000323	   0.005772	   0.005783	   0.010060	   0.022165	   0.055560	   0.060927	   0.009570	   0.079907	     99.81 % 
2000 4  PLATEAU IDENT_____	   0.000329	   0.001932	   0.001943	   0.000961	   0.000965	   0.010151	   0.009160	   0.001951	   0.018945	     99.43 % 
2000 4  SHUFFLE IDENT_____	   0.000328	   0.024004	   0.026902	   0.029154	   0.035895	   0.046216	   0.041740	   0.042764	   0.061744	     89.23 % 
2000 4  STAGGER REVERSE___	   0.000329	   0.034205	   0.038969	   0.016902	   0.016987	   0.037552	   0.019154	   0.053412	   0.054839	     87.78 % 
2000 4  SAWTOTH REVERSE___	   0.000324	   0.005632	   0.005494	   0.008453	   0.022043	   0.051123	   0.048553	   0.007555	   0.066947	    102.51 % ..
2000 4  _RANDOM REVERSE___	   0.000328	   0.006474	   0.005930	!  0.010820	   0.022172	   0.052916	   0.060770	   0.008844	   0.079800	    109.18 % .!.
2000 4  PLATEAU REVERSE___	   0.000328	   0.001922	   0.001923	   0.001912	   0.000991	   0.010197	   0.006599	   0.001943	   0.019069	     99.98 % 
2000 4  SHUFFLE REVERSE___	   0.000327	   0.026495	   0.029070	   0.029346	   0.037506	   0.051035	   0.053023	   0.047530	   0.070407	     91.14 % 
2000 4  STAGGER REVERSE_FR	   0.000327	   0.033865	   0.036750	   0.016361	   0.016467	   0.032956	   0.018771	   0.051167	   0.046506	     92.15 % 
2000 4  SAWTOTH REVERSE_FR	   0.000325	   0.005440	   0.005428	   0.006647	   0.021959	   0.051188	   0.048098	   0.006987	   0.066728	    100.23 % ..
2000 4  _RANDOM REVERSE_FR	   0.000325	   0.006421	   0.005914	   0.008566	   0.022038	   0.055739	   0.060865	   0.009216	   0.079843	    108.58 % .!.
2000 4  PLATEAU REVERSE_FR	   0.000324	   0.001949	   0.001950	   0.006526	   0.000997	   0.010163	   0.010289	   0.001996	   0.019109	     99.95 % 
2000 4  SHUFFLE REVERSE_FR	   0.000325	   0.024265	   0.028241	   0.033000	   0.036517	   0.048833	   0.048166	   0.043192	   0.066281	     85.92 % 
2000 4  STAGGER REVERSE_BA	   0.000325	   0.032177	   0.033974	   0.016833	   0.016971	   0.033057	   0.018757	   0.049809	   0.046680	     94.71 % 
2000 4  SAWTOTH REVERSE_BA	   0.000327	   0.005591	   0.005511	   0.006695	   0.021994	   0.051240	   0.047843	   0.007658	   0.067250	    101.46 % ..
2000 4  _RANDOM REVERSE_BA	   0.000326	   0.005590	   0.005474	!  0.010646	   0.022138	   0.055716	   0.060732	   0.008272	   0.079971	    102.12 % ..
2000 4  PLATEAU REVERSE_BA	   0.000325	   0.001935	   0.001937	   0.000965	   0.000977	   0.010115	   0.009132	   0.001973	   0.018933	     99.90 % 
2000 4  SHUFFLE REVERSE_BA	   0.000324	   0.033822	   0.040569	   0.028875	   0.036726	   0.048895	   0.048617	   0.059705	   0.066239	     83.37 % 
2000 4  STAGGER SORT______	   0.000328	   0.008970	   0.009432	   0.000962	   0.000968	   0.008994	   0.009131	   0.011626	   0.015562	     95.11 % 
2000 4  SAWTOTH SORT______	   0.000328	   0.005269	   0.004877	   0.000934	   0.000977	   0.010151	   0.009139	   0.006400	   0.018964	    108.03 % .!.
2000 4  _RANDOM SORT______	   0.000334	   0.004785	   0.004483	   0.000924	   0.000968	   0.010075	   0.009121	   0.005622	   0.018723	    106.72 % .!.
2000 4  PLATEAU SORT______	   0.000329	   0.001935	   0.001941	   0.000960	   0.000977	   0.010078	   0.009207	   0.001953	   0.018940	     99.68 % 
2000 4  SHUFFLE SORT______	   0.000326	   0.008862	   0.009371	   0.000963	   0.000971	   0.008936	   0.009134	   0.011481	   0.015463	     94.57 % 
2000 4  STAGGER DITHER____	   0.000327	   0.033089	   0.036130	   0.015857	   0.015780	   0.028316	   0.018584	   0.051267	   0.038363	     91.58 % 
2000 4  SAWTOTH DITHER____	   0.000328	   0.007354	   0.007279	   0.010683	   0.022029	   0.052649	   0.049837	   0.009903	   0.068184	    101.03 % ..
2000 4  _RANDOM DITHER____	   0.000328	   0.007957	   0.007853	   0.012515	   0.022127	   0.064984	   0.068296	   0.014082	   0.090239	    101.32 % ..
2000 4  PLATEAU DITHER____	   0.000327	   0.006300	   0.006259	   0.007429	   0.022035	   0.050530	   0.046431	   0.008393	   0.065513	    100.65 % ..
2000 4  SHUFFLE DITHER____	   0.000329	   0.025445	   0.028691	   0.032490	   0.039226	   0.048022	   0.046825	   0.045942	   0.064121	     88.69 % 
2000 16  STAGGER IDENT_____	   0.000332	   0.035526	   0.039702	   0.027228	   0.030322	   0.037917	   0.028229	   0.056826	   0.049884	     89.48 % 
2000 16  SAWTOTH IDENT_____	   0.000329	   0.015201	   0.015752	   0.014697	   0.022092	   0.049756	   0.041648	   0.025066	   0.063918	     96.51 % 
2000 16  _RANDOM IDENT_____	   0.000330	   0.015673	   0.016738	   0.023478	   0.022110	   0.081946	   0.077359	   0.030300	   0.101681	     93.64 % 
2000 16  PLATEAU IDENT_____	   0.000326	   0.002089	   0.001963	   0.000961	   0.000971	   0.010164	   0.009188	   0.002153	   0.018939	    106.40 % .!.
2000 16  SHUFFLE IDENT_____	   0.000326	   0.019440	   0.020852	   0.024440	   0.036695	   0.038863	   0.032490	   0.028499	   0.053594	     93.23 % 
2000 16  STAGGER REVERSE___	   0.000325	   0.037072	   0.040449	   0.028340	   0.031581	   0.047052	   0.028838	   0.058651	   0.064936	     91.65 % 
2000 16  SAWTOTH REVERSE___	   0.000327	   0.012473	   0.013779	   0.014949	   0.022328	   0.055503	   0.052595	   0.018308	   0.072672	     90.52 % 
2000 16  _RANDOM REVERSE___	   0.000325	   0.017837	   0.018092	   0.021676	   0.022212	   0.082124	   0.077425	   0.029467	   0.102246	     98.59 % 
2000 16  PLATEAU REVERSE___	   0.000326	   0.002102	   0.002001	   0.001923	   0.001006	   0.010241	   0.006825	   0.002175	   0.019143	    105.07 % .!.
2000 16  SHUFFLE REVERSE___	   0.000329	   0.024455	   0.026247	   0.024269	   0.037613	   0.045562	   0.036111	   0.035399	   0.065218	     93.17 % 
2000 16  STAGGER REVERSE_FR	   0.000328	   0.039280	   0.042397	   0.027473	   0.031127	   0.042154	   0.027390	   0.061640	   0.058250	     92.65 % 
2000 16  SAWTOTH REVERSE_FR	   0.000330	   0.017865	   0.019704	   0.015526	   0.022261	   0.053135	   0.046877	   0.030161	   0.069096	     90.67 % 
2000 16  _RANDOM REVERSE_FR	   0.000325	   0.016722	   0.015712	   0.021418	   0.022202	   0.081780	   0.077276	   0.027511	   0.101868	    106.43 % .!.
2000 16  PLATEAU REVERSE_FR	   0.000326	   0.002136	   0.002010	   0.006568	   0.001014	   0.010249	   0.010412	   0.002214	   0.019112	    106.24 % .!.
2000 16  SHUFFLE REVERSE_FR	   0.000329	   0.021028	   0.022753	   0.025640	   0.037331	   0.042340	   0.034620	   0.031322	   0.059552	     92.42 % 
2000 16  STAGGER REVERSE_BA	   0.000327	   0.039146	   0.043371	   0.027830	   0.030778	   0.042694	   0.027500	   0.061509	   0.057631	     90.26 % 
2000 16  SAWTOTH REVERSE_BA	   0.000328	   0.012353	   0.013202	   0.013139	   0.022123	   0.053223	   0.046868	   0.019370	   0.068356	     93.57 % 
2000 16  _RANDOM REVERSE_BA	   0.000329	   0.015999	   0.015519	   0.021108	   0.022185	   0.081990	   0.077241	   0.027167	   0.101825	    103.10 % ..
2000 16  PLATEAU REVERSE_BA	   0.000329	   0.002089	   0.001961	   0.000957	   0.000972	   0.010209	   0.009114	   0.002142	   0.018965	    106.53 % .!.
2000 16  SHUFFLE REVERSE_BA	   0.000327	   0.025015	   0.026502	   0.022550	   0.037201	   0.042344	   0.035184	   0.036107	   0.059495	     94.39 % 
2000 16  STAGGER SORT______	   0.000326	   0.008806	   0.009365	   0.000969	   0.000971	   0.008995	   0.009128	   0.011459	   0.015554	     94.03 % 
2000 16  SAWTOTH SORT______	   0.000328	   0.009363	   0.008679	   0.000957	   0.000968	   0.009930	   0.009087	   0.011396	   0.018684	    107.88 % .!.
2000 16  _RANDOM SORT______	   0.000326	   0.008646	   0.008215	   0.000962	   0.000968	   0.010001	   0.009126	   0.010480	   0.018101	    105.25 % .!.
2000 16  PLATEAU SORT______	   0.000327	   0.002088	   0.001962	   0.000961	   0.000978	   0.010068	   0.009187	   0.002151	   0.018891	    106.45 % .!.
2000 16  SHUFFLE SORT______	   0.000331	   0.008791	   0.009326	   0.000958	   0.000971	   0.008923	   0.009143	   0.011436	   0.015495	     94.27 % 
2000 16  STAGGER DITHER____	   0.000327	   0.036795	   0.039981	   0.027245	   0.033473	   0.038079	   0.028290	   0.057550	   0.049854	     92.03 % 
2000 16  SAWTOTH DITHER____	   0.000326	   0.016958	   0.017897	   0.015955	   0.021980	   0.053954	   0.053699	   0.031046	   0.070703	     94.75 % 
2000 16  _RANDOM DITHER____	   0.000324	   0.018661	   0.018436	   0.023876	   0.022227	   0.084212	   0.078970	   0.033638	   0.103801	    101.22 % ..
2000 16  PLATEAU DITHER____	   0.000325	   0.006477	   0.006383	   0.007481	   0.022019	   0.050486	   0.046404	   0.008547	   0.065724	    101.48 % ..
2000 16  SHUFFLE DITHER____	   0.000327	   0.021163	   0.022375	   0.024029	   0.037792	   0.040259	   0.038201	   0.030515	   0.055174	     94.58 % 
2000 64  STAGGER IDENT_____	   0.000325	   0.048861	   0.051630	   0.039637	   0.028652	   0.046454	   0.040827	   0.070388	   0.059580	     94.64 % 
2000 64  SAWTOTH IDENT_____	   0.000325	   0.025637	   0.026763	   0.028729	   0.022386	   0.042628	   0.034468	   0.036889	   0.055015	     95.79 % 
2000 64  _RANDOM IDENT_____	   0.000325	   0.038678	   0.042789	   0.036245	   0.022250	   0.098576	   0.090120	   0.059962	   0.117248	     90.39 % 
2000 64  PLATEAU IDENT_____	   0.000325	   0.003074	   0.002026	   0.000962	   0.000972	   0.010090	   0.009203	   0.003380	   0.018859	    151.74 % .!!!.
2000 64  SHUFFLE IDENT_____	   0.000327	   0.014492	   0.015482	   0.026289	   0.037061	   0.031812	   0.024057	   0.021257	   0.044784	     93.61 % 
2000 64  STAGGER REVERSE___	   0.000325	   0.048152	   0.050065	   0.040903	   0.028973	   0.053951	   0.040715	   0.068276	   0.071528	     96.18 % 
2000 64  SAWTOTH REVERSE___	   0.000329	   0.027756	   0.029578	   0.029893	   0.022949	   0.050985	   0.034720	   0.036147	   0.069034	     93.84 % 
2000 64  _RANDOM REVERSE___	   0.000327	   0.036798	   0.040566	   0.036284	   0.022237	   0.098506	   0.090020	   0.059223	   0.117501	     90.71 % 
2000 64  PLATEAU REVERSE___	   0.000328	   0.003117	   0.002236	   0.001910	   0.001050	   0.010428	   0.006971	   0.003486	   0.019416	    139.40 % .!!!.
2000 64  SHUFFLE REVERSE___	   0.000328	   0.016611	   0.017041	   0.026258	   0.038224	   0.039347	   0.024409	   0.022827	   0.058369	     97.48 % 
2000 64  STAGGER REVERSE_FR	   0.000328	   0.049999	   0.056645	   0.040341	   0.028833	   0.050011	   0.039800	   0.075016	   0.066433	     88.27 % 
2000 64  SAWTOTH REVERSE_FR	   0.000326	   0.030671	   0.033342	   0.032656	   0.022966	   0.046974	   0.033660	   0.039517	   0.062263	     91.99 % 
2000 64  _RANDOM REVERSE_FR	   0.000328	   0.038354	   0.041210	   0.036690	   0.022260	   0.098456	   0.089894	   0.059204	   0.117299	     93.07 % 
2000 64  PLATEAU REVERSE_FR	   0.000328	   0.003165	   0.002143	   0.006628	   0.001075	   0.010405	   0.010594	   0.003532	   0.019443	    147.68 % .!!!.
2000 64  SHUFFLE REVERSE_FR	   0.000325	   0.018003	   0.019376	   0.027420	   0.037710	   0.035711	   0.024545	   0.025493	   0.051664	     92.91 % 
2000 64  STAGGER REVERSE_BA	   0.000329	   0.049515	   0.051692	   0.040449	   0.028629	   0.050509	   0.041255	   0.068760	   0.066171	     95.79 % 
2000 64  SAWTOTH REVERSE_BA	   0.000325	   0.027367	   0.029896	   0.033754	   0.022271	   0.046796	   0.034311	   0.041309	   0.061816	     91.54 % 
2000 64  _RANDOM REVERSE_BA	   0.000327	   0.039006	   0.041322	   0.036312	   0.022245	   0.098555	   0.090176	   0.059589	   0.117505	     94.39 % 
2000 64  PLATEAU REVERSE_BA	   0.000328	   0.003057	   0.002028	   0.000958	   0.000974	   0.010022	   0.009205	   0.003414	   0.018832	    150.77 % .!!!.
2000 64  SHUFFLE REVERSE_BA	   0.000329	   0.018743	   0.020274	   0.027616	   0.037105	   0.035757	   0.025269	   0.027987	   0.051921	     92.45 % 
2000 64  STAGGER SORT______	   0.000329	   0.008982	   0.009377	   0.000960	   0.000975	   0.009022	   0.009093	   0.011622	   0.015588	     95.78 % 
2000 64  SAWTOTH SORT______	   0.000328	   0.009697	   0.010010	   0.000961	   0.000976	   0.009283	   0.009080	   0.013099	   0.016231	     96.86 % 
2000 64  _RANDOM SORT______	   0.000325	   0.010287	   0.010306	   0.000964	   0.000974	   0.009541	   0.009138	   0.013496	   0.016779	     99.81 % 
2000 64  PLATEAU SORT______	   0.000329	   0.003058	   0.002038	   0.000958	   0.000976	   0.010108	   0.009203	   0.003411	   0.018825	    150.01 % .!!!.
2000 64  SHUFFLE SORT______	   0.000328	   0.008812	   0.009285	   0.000958	   0.000968	   0.008955	   0.009120	   0.011460	   0.015430	     94.91 % 
2000 64  STAGGER DITHER____	   0.000328	   0.048798	   0.051406	   0.039604	   0.028817	   0.046475	   0.040758	   0.070253	   0.059815	     94.93 % 
2000 64  SAWTOTH DITHER____	   0.000327	   0.034417	   0.035597	   0.024939	   0.022023	   0.047362	   0.044051	   0.041723	   0.061116	     96.69 % 
2000 64  _RANDOM DITHER____	   0.000327	   0.038304	   0.042049	   0.037076	   0.022194	   0.098560	   0.090382	   0.060743	   0.117571	     91.09 % 
2000 64  PLATEAU DITHER____	   0.000328	   0.007438	   0.006492	   0.008225	   0.022130	   0.049947	   0.046203	   0.009715	   0.064428	    114.57 % .!!.
2000 64  SHUFFLE DITHER____	   0.000326	   0.015857	   0.016853	   0.022056	   0.037247	   0.033492	   0.036512	   0.022700	   0.046933	     94.09 % 
2000 256  STAGGER IDENT_____	   0.000329	   0.050095	   0.052801	   0.060480	   0.030039	   0.052897	   0.047756	   0.073919	   0.068176	     94.87 % 
2000 256  SAWTOTH IDENT_____	   0.000328	   0.031630	   0.033961	   0.017726	   0.017950	   0.032325	   0.022332	   0.048934	   0.042802	     93.13 % 
2000 256  _RANDOM IDENT_____	   0.000327	   0.055395	   0.061376	   0.060513	   0.022719	   0.108337	   0.099087	   0.082523	   0.128348	     90.26 % 
2000 256  PLATEAU IDENT_____	   0.000330	   0.003139	   0.002547	   0.000959	   0.000969	   0.010018	   0.009207	   0.003624	   0.018541	    123.26 % .!!!.
2000 256  SHUFFLE IDENT_____	   0.000331	   0.012829	   0.013402	   0.019270	   0.018959	   0.025500	   0.017653	   0.017979	   0.036813	     95.73 % 
2000 256  STAGGER REVERSE___	   0.000327	   0.050475	   0.052100	   0.058145	   0.030059	   0.055023	   0.053384	   0.072464	   0.071096	     96.88 % 
2000 256  SAWTOTH REVERSE___	   0.000330	   0.032918	   0.036148	   0.018819	   0.019265	   0.041461	   0.022491	   0.051536	   0.058962	     91.06 % 
2000 256  _RANDOM REVERSE___	   0.000327	   0.056720	   0.063022	   0.059256	   0.022695	   0.108252	   0.098885	   0.081300	   0.128200	     90.00 % 
2000 256  PLATEAU REVERSE___	   0.000328	   0.003925	   0.003425	   0.001923	   0.001282	   0.011284	   0.007735	   0.004657	   0.020815	    114.60 % .!!.
2000 256  SHUFFLE REVERSE___	   0.000327	   0.015272	   0.015511	   0.018931	   0.018755	   0.033706	   0.017721	   0.020483	   0.051478	     98.46 % 
2000 256  STAGGER REVERSE_FR	   0.000331	   0.052848	   0.054085	   0.058466	   0.030406	   0.054597	   0.050571	   0.076038	   0.070330	     97.71 % 
2000 256  SAWTOTH REVERSE_FR	   0.000328	   0.036286	   0.041107	   0.021445	   0.021658	   0.036876	   0.021146	   0.057743	   0.050815	     88.27 % 
2000 256  _RANDOM REVERSE_FR	   0.000324	   0.055086	   0.059971	   0.059508	   0.022755	   0.108123	   0.099219	   0.081222	   0.128224	     91.85 % 
2000 256  PLATEAU REVERSE_FR	   0.000333	   0.006548	   0.005464	   0.006624	   0.001301	   0.011190	   0.011370	   0.008685	   0.020738	    119.83 % .!!.
2000 256  SHUFFLE REVERSE_FR	   0.000325	   0.016558	   0.018129	   0.020387	   0.019267	   0.029789	   0.018286	   0.022991	   0.044359	     91.34 % 
2000 256  STAGGER REVERSE_BA	   0.000325	   0.052528	   0.055409	   0.058889	   0.030006	   0.053513	   0.050839	   0.073430	   0.068880	     94.80 % 
2000 256  SAWTOTH REVERSE_BA	   0.000330	   0.034635	   0.038211	   0.022749	   0.023069	   0.036941	   0.020608	   0.054615	   0.050785	     90.64 % 
2000 256  _RANDOM REVERSE_BA	   0.000326	   0.053379	   0.061703	   0.062721	   0.022571	   0.108129	   0.099154	   0.080453	   0.128347	     86.51 % 
2000 256  PLATEAU REVERSE_BA	   0.000325	   0.003138	   0.002547	   0.000964	   0.000986	   0.009967	   0.009184	   0.003615	   0.018559	    123.23 % .!!!.
2000 256  SHUFFLE REVERSE_BA	   0.000330	   0.016484	   0.017283	   0.020150	   0.019929	   0.029815	   0.019161	   0.023151	   0.044434	     95.38 % 
2000 256  STAGGER SORT______	   0.000326	   0.008853	   0.009310	   0.000966	   0.000978	   0.009000	   0.009124	   0.011473	   0.015518	     95.09 % 
2000 256  SAWTOTH SORT______	   0.000328	   0.009627	   0.009837	   0.000963	   0.000973	   0.008979	   0.009134	   0.012471	   0.015587	     97.86 % 
2000 256  _RANDOM SORT______	   0.000328	   0.009209	   0.009357	   0.000957	   0.000970	   0.009021	   0.009090	   0.012731	   0.015525	     98.42 % 
2000 256  PLATEAU SORT______	   0.000329	   0.003184	   0.002542	   0.000965	   0.000977	   0.009918	   0.009162	   0.003606	   0.018485	    125.25 % .!!!.
2000 256  SHUFFLE SORT______	   0.000326	   0.008830	   0.009320	   0.000964	   0.000970	   0.008964	   0.009132	   0.011442	   0.015483	     94.75 % 
2000 256  STAGGER DITHER____	   0.000328	   0.050166	   0.051147	   0.058057	   0.033016	   0.053155	   0.048032	   0.070796	   0.068035	     98.08 % 
2000 256  SAWTOTH DITHER____	   0.000328	   0.036678	   0.039528	   0.041518	   0.022511	   0.039450	   0.040804	   0.056549	   0.052185	     92.79 % 
2000 256  _RANDOM DITHER____	   0.000329	   0.054028	   0.060145	   0.059532	   0.022799	   0.108055	   0.098939	   0.080376	   0.128127	     89.83 % 
2000 256  PLATEAU DITHER____	   0.000328	   0.007521	   0.007344	   0.009168	   0.022719	   0.048551	   0.045328	   0.009711	   0.062846	    102.41 % ..
2000 256  SHUFFLE DITHER____	   0.000328	   0.014166	   0.014798	   0.018528	   0.036580	   0.029531	   0.035922	   0.019496	   0.041992	     95.73 % 
2000 1024  STAGGER IDENT_____	   0.000326	   0.039610	   0.042785	   0.028906	   0.027937	   0.051759	   0.049204	   0.055670	   0.065935	     92.58 % 
2000 1024  SAWTOTH IDENT_____	   0.000325	   0.039055	   0.044345	   0.007043	   0.006716	   0.018785	   0.011708	   0.060414	   0.026957	     88.07 % 
2000 1024  _RANDOM IDENT_____	   0.000329	   0.056860	   0.060508	   0.069622	   0.028001	   0.110079	   0.101480	   0.082988	   0.130985	     93.97 % 
2000 1024  PLATEAU IDENT_____	   0.000333	   0.008195	   0.007539	   0.000961	   0.000965	   0.009550	   0.009163	   0.010710	   0.017269	    108.71 % .!.
2000 1024  SHUFFLE IDENT_____	   0.000325	   0.011313	   0.012011	!  0.009344	!  0.009026	!  0.018791	   0.011542	   0.015400	!  0.028140	     94.19 % 
2000 1024  STAGGER REVERSE___	   0.000325	   0.037637	   0.043719	   0.033112	   0.027851	   0.055025	   0.054523	   0.052727	   0.072683	     86.09 % 
2000 1024  SAWTOTH REVERSE___	   0.000328	   0.041665	   0.047100	   0.008034	   0.007857	   0.028255	   0.012366	   0.064991	   0.043603	     88.46 % 
2000 1024  _RANDOM REVERSE___	   0.000326	   0.060197	   0.062155	   0.067683	   0.027930	   0.110163	   0.101559	   0.083136	   0.130992	     96.85 % 
2000 1024  PLATEAU REVERSE___	   0.000326	   0.010751	   0.010269	   0.001928	   0.002155	   0.014582	   0.011944	   0.014542	   0.026092	    104.70 % ..
2000 1024  SHUFFLE REVERSE___	   0.000332	   0.013802	   0.014263	!  0.010271	!  0.010025	   0.027599	   0.012349	   0.018373	   0.043692	     96.77 % 
2000 1024  STAGGER REVERSE_FR	   0.000325	   0.038814	   0.046011	   0.030121	   0.027703	   0.053350	   0.052678	   0.057822	   0.069002	     84.36 % 
2000 1024  SAWTOTH REVERSE_FR	   0.000326	   0.037838	   0.041578	   0.007599	   0.009947	   0.023613	   0.015198	   0.056516	   0.035385	     91.00 % 
2000 1024  _RANDOM REVERSE_FR	   0.000329	   0.055453	   0.062439	   0.070227	   0.027927	   0.110081	   0.101383	   0.081892	   0.131228	     88.81 % 
2000 1024  PLATEAU REVERSE_FR	   0.000327	   0.014554	   0.013813	   0.001469	   0.006361	   0.014415	   0.011684	   0.019606	   0.025664	    105.37 % .!.
2000 1024  SHUFFLE REVERSE_FR	   0.000325	   0.016029	   0.017681	!  0.010145	!  0.013150	!  0.023326	   0.012984	   0.021803	   0.036129	     90.66 % 
2000 1024  STAGGER REVERSE_BA	   0.000325	   0.039077	   0.039798	   0.030463	   0.027523	   0.053701	   0.052692	   0.052828	   0.069576	     98.19 % 
2000 1024  SAWTOTH REVERSE_BA	   0.000332	   0.037560	   0.041697	   0.007619	   0.011848	   0.023490	   0.013236	   0.058125	   0.035241	     90.08 % 
2000 1024  _RANDOM REVERSE_BA	   0.000334	   0.055982	   0.062654	   0.072500	   0.028051	   0.109957	   0.101505	   0.081857	   0.131034	     89.35 % 
2000 1024  PLATEAU REVERSE_BA	   0.000329	   0.008318	   0.007492	   0.005942	   0.005518	   0.009639	   0.008289	   0.010796	   0.017492	    111.02 % .!!.
2000 1024  SHUFFLE REVERSE_BA	   0.000324	   0.015986	   0.017104	!  0.012920	!  0.012668	!  0.023327	   0.014614	   0.022403	   0.036125	     93.46 % 
2000 1024  STAGGER SORT______	   0.000330	   0.010361	   0.010503	   0.000953	   0.000966	   0.009233	   0.009084	   0.013477	   0.016264	     98.64 % 
2000 1024  SAWTOTH SORT______	   0.000327	   0.008923	   0.009368	   0.000969	   0.000974	   0.009002	   0.009150	   0.011486	   0.015574	     95.25 % 
2000 1024  _RANDOM SORT______	   0.000328	   0.009039	   0.009415	   0.000967	   0.000972	   0.008930	   0.009145	   0.011759	   0.015597	     96.01 % 
2000 1024  PLATEAU SORT______	   0.000331	   0.008146	   0.007516	   0.000962	   0.000969	   0.009567	   0.009162	   0.010677	   0.017242	    108.39 % .!.
2000 1024  SHUFFLE SORT______	   0.000325	   0.008847	   0.009296	   0.000966	   0.000982	   0.008997	   0.009118	   0.011474	   0.015484	     95.17 % 
2000 1024  STAGGER DITHER____	   0.000325	   0.039583	   0.042752	   0.029026	   0.028177	   0.051723	   0.049258	   0.055900	   0.065519	     92.59 % 
2000 1024  SAWTOTH DITHER____	   0.000329	   0.039504	   0.044722	   0.025969	   0.025394	   0.035217	   0.038267	   0.062771	   0.048323	     88.33 % 
2000 1024  _RANDOM DITHER____	   0.000329	   0.055625	   0.061734	   0.072566	   0.028025	   0.110111	   0.101428	   0.081937	   0.131030	     90.10 % 
2000 1024  PLATEAU DITHER____	   0.000333	   0.011670	   0.011385	   0.012061	   0.025291	   0.041473	   0.041086	   0.015819	   0.055627	    102.51 % ..
2000 1024  SHUFFLE DITHER____	   0.000328	   0.012518	   0.013335	   0.015983	   0.036002	   0.027923	   0.035681	   0.016864	   0.039953	     93.87 % 
lreps: 9 with reps: 7

5000 1  STAGGER IDENT_____	   0.001098	   0.014434	   0.013706	   0.018689	   0.017983	   0.036059	   0.040170	   0.023060	   0.057857	    105.31 % .!.
5000 1  SAWTOTH IDENT_____	   0.001142	   0.001882	   0.001881	   0.002066	   0.003911	   0.024579	   0.024392	   0.001914	   0.048362	    100.03 % ..
5000 1  _RANDOM IDENT_____	   0.001132	   0.001871	   0.001857	   0.002067	   0.003937	   0.024717	   0.024718	   0.001883	   0.048457	    100.76 % ..
5000 1  PLATEAU IDENT_____	   0.001096	   0.002117	   0.002130	   0.002568	   0.002285	   0.024764	   0.024411	   0.002149	   0.048384	     99.40 % 
5000 1  SHUFFLE IDENT_____	   0.001098	   0.002126	   0.002129	   0.002538	   0.002303	   0.022585	   0.024504	   0.002148	   0.041144	     99.87 % 
5000 1  STAGGER REVERSE___	   0.001121	   0.017783	   0.016975	   0.021264	   0.021131	   0.069282	   0.039651	   0.028811	   0.109554	    104.76 % ..
